FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , 0.0013          ,         , -0.0097         ,         , -0.016          ,         , -0.001          ,        
Apps_ENERGY               , 0.00061         ,         , 0.00045         ,         , 0               ,         , -0.0019         ,        
Apps_FIR                  , -0.00081        ,         , -0.078          ,         , 0               ,         , 0.054           ,        
Apps_HALOEXCHANGE         , 0.27            ,OVER_TOL , 0.58            ,OVER_TOL , 0               ,         , -0.011          ,        
Apps_LTIMES               , 0.0015          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00041         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.0015         ,         , -0.0014         ,         , 0               ,         , 0.00099         ,        
Apps_VOL3D                , 8e-05           ,         , 0.008           ,         , 0               ,         , -0.2            ,        
Basic_DAXPY               , 0.053           ,         , 0.065           ,         , 0.00094         ,         , 0.0017          ,        
Basic_IF_QUAD             , -0.0074         ,         , 7.2e-05         ,         , 0.18            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_INIT3               , -2.3e-05        ,         , 0.00033         ,         , 0.0011          ,         , -0.00055        ,        
Basic_INIT_VIEW1D         , -1.4e-05        ,         , 8.6e-05         ,         , -0.00044        ,         , 0.0024          ,        
Basic_INIT_VIEW1D_OFFSET  , -2.8e-05        ,         , 1.1             ,OVER_TOL , 0.0029          ,         , 0.0066          ,        
Basic_MULADDSUB           , -0.0066         ,         , -0.0067         ,         , 0.23            ,OVER_TOL , 0.22            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.008           ,         , 0.0029          ,         , 0.0064          ,        
Basic_PI_ATOMIC           , -0.00033        ,         , 1.5             ,OVER_TOL , -0.00014        ,         , 0.00024         ,        
Basic_REDUCE3_INT         , -0.00012        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.65            ,OVER_TOL
Basic_TRAP_INT            , -7.9e-05        ,         , -6.2e-07        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 0.00016         ,         , -0.12           ,         , 0               ,         , 0.0073          ,        
Lcals_EOS                 , 0.0013          ,         , 0.0012          ,         , 0               ,         , 0.0018          ,        
Lcals_FIRST_DIFF          , 0.022           ,         , 0.024           ,         , 0               ,         , -0.00071        ,        
Lcals_FIRST_MIN           , -0.037          ,         , 0.23            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.016           ,         , 0.021           ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , -0.00012        ,         , 1.1e-05         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00094         ,         , 0.00095         ,         , 0               ,         , 0.0004          ,        
Lcals_HYDRO_2D            , -0.00099        ,         , 0.0092          ,         , 0               ,         , 0.087           ,        
Lcals_INT_PREDICT         , 0.0012          ,         , -0.00021        ,         , 0               ,         , 0.0001          ,        
Lcals_PLANCKIAN           , -3.1e-05        ,         , -5.6e-05        ,         , 0               ,         , -0.0066         ,        
Lcals_TRIDIAG_ELIM        , 0.00017         ,         , 0.0002          ,         , 0               ,         , 0.0049          ,        
Stream_ADD                , 0.00063         ,         , 0.0011          ,         , 0.00082         ,         , 0.0012          ,        
Stream_COPY               , -0.00095        ,         , -0.29           ,         , 0.0012          ,         , -4.7e-05        ,        
Stream_DOT                , -0.00029        ,         , 0.0092          ,         , 0               ,         , -0.21           ,        
Stream_MUL                , 0.012           ,         , 0.015           ,         , 0.0014          ,         , 0.0014          ,        
Stream_TRIAD              , -0.00025        ,         , 0.00037         ,         , 0.0044          ,         , -4.4e-05        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.037          ,         , -0.29           ,         , -0.016          ,         , -0.43           ,        
Col Max                   , 0.27            ,         , 8.8             ,         , 0.29            ,         , 0.65            ,        
Col Avg                   , 0.011           ,         , 0.35            ,         , 0.066           ,         , 0.017           ,        
Col Std Dev               , 0.0023          ,         , 2.3             ,         , 0.012           ,         , 0.033           ,        
