FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.04           ,         , 1.4             ,OVER_TOL , -0.001          ,         , 0.031           ,         , 0               ,        
Basic_DAXPY               , 0.00022         ,         , 0.0015          ,         , 0.059           ,         , 0.032           ,         , 0               ,        
Basic_IF_QUAD             , 0.02            ,         , 0.019           ,         , 0.079           ,         , 0.068           ,         , 0               ,        
Basic_INIT3               , 0.00012         ,         , -0.001          ,         , 0.0012          ,         , 0.0048          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00044         ,         , 0.00018         ,         , 0.00085         ,         , -0.0039         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00036         ,         , 1.1             ,OVER_TOL , 0.0002          ,         , 0.033           ,         , 0               ,        
Basic_MULADDSUB           , -0.00029        ,         , 0.00059         ,         , 0.072           ,         , 0.071           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0025         ,         , 0.00031         ,         , 0.00047         ,         , 0.00047         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00028        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.25            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 2.3e-05         ,         , 0.00074         ,         , 0               ,         , -0.39           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.04           ,         , -0.001          ,         , -0.001          ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.02            ,         , 8.5             ,         , 0.079           ,         , 0.25            ,         , -1.8e+308       ,        
Col Avg                   , -0.0022         ,         , 1.1             ,         , 0.027           ,         , 0.0098          ,         , 0               ,        
Col Std Dev               , 0.00019         ,         , 6.4             ,         , 0.0012          ,         , 0.022           ,         , 0               ,        
