FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.07           ,         , 0.056           ,         , -0.041          ,         , -0.014          ,         , 0               ,        
Basic_DAXPY               , -0.23           ,         , 0.89            ,OVER_TOL , 0.0017          ,         , 0.00077         ,         , 0               ,        
Basic_IF_QUAD             , -0.23           ,         , 0.39            ,OVER_TOL , -0.036          ,         , 0.0034          ,         , 0               ,        
Basic_INIT3               , 0.016           ,         , 1               ,OVER_TOL , -0.034          ,         , 0.0097          ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.61           ,         , -0.22           ,         , -0.0079         ,         , 0.0042          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.4            ,         , 0.085           ,         , -0.033          ,         , -0.022          ,         , 0               ,        
Basic_MULADDSUB           , -0.52           ,         , -0.58           ,         , 0.058           ,         , 0.024           ,         , 0               ,        
Basic_NESTED_INIT         , -0.28           ,         , -0.17           ,         , -0.016          ,         , -0.025          ,         , 0               ,        
Basic_REDUCE3_INT         , 0.091           ,         , -0.073          ,         , 0               ,         , -0.022          ,         , 0               ,        
Basic_TRAP_INT            , 0               ,         , 0.43            ,OVER_TOL , 0               ,         , 0.022           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.61           ,         , -0.58           ,         , -0.041          ,         , -0.025          ,         , 1.8e+308        ,        
Col Max                   , 0.091           ,         , 1               ,         , 0.058           ,         , 0.024           ,         , -1.8e+308       ,        
Col Avg                   , -0.22           ,         , 0.18            ,         , -0.014          ,         , -0.0019         ,         , 0               ,        
Col Std Dev               , 0.05            ,         , 0.23            ,         , 0.00093         ,         , 0.0003          ,         , 0               ,        
