FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00028        ,         , -0.0013         ,         , -0.01           ,         , -0.002          ,        
Apps_ENERGY               , 0.0028          ,         , 0.00044         ,         , 0               ,         , -0.00027        ,        
Apps_FIR                  , -0.00075        ,         , -0.078          ,         , 0               ,         , 0.045           ,        
Apps_HALOEXCHANGE         , 0.026           ,         , 0.25            ,OVER_TOL , 0               ,         , -0.0095         ,        
Apps_LTIMES               , 0.0015          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00057         ,         , 0.062           ,         , 0.28            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 0.00085         ,         , 0.0013          ,         , 0               ,         , 0.0026          ,        
Apps_VOL3D                , 3.5e-05         ,         , 0.0089          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.017           ,         , 0.013           ,         , -0.0006         ,         , 0.0005          ,        
Basic_IF_QUAD             , -0.0062         ,         , 0.0045          ,         , 0.19            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_INIT3               , -0.00022        ,         , 0.00027         ,         , 0.0026          ,         , -0.00021        ,        
Basic_INIT_VIEW1D         , -3.5e-05        ,         , 6.2e-05         ,         , -0.00041        ,         , 0.0021          ,        
Basic_INIT_VIEW1D_OFFSET  , 2.5e-05         ,         , 1.1             ,OVER_TOL , 0.003           ,         , 0.0056          ,        
Basic_MULADDSUB           , -0.0066         ,         , -0.0068         ,         , 0.24            ,OVER_TOL , 0.24            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0083          ,         , 0.0039          ,         , 0.0043          ,        
Basic_PI_ATOMIC           , -0.00022        ,         , 1.5             ,OVER_TOL , -0.018          ,         , -0.019          ,        
Basic_REDUCE3_INT         , 5.9e-05         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.77            ,OVER_TOL
Basic_TRAP_INT            , 0.00012         ,         , 0.00033         ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 0.00038         ,         , -0.12           ,         , 0               ,         , 0.016           ,        
Lcals_EOS                 , 0.0015          ,         , 0.0015          ,         , 0               ,         , 0.0023          ,        
Lcals_FIRST_DIFF          , 0.012           ,         , 0.019           ,         , 0               ,         , -8.6e-05        ,        
Lcals_FIRST_MIN           , -0.04           ,         , 0.23            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.0081          ,         , 0.0096          ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , 0.0065          ,         , 0.0055          ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.001           ,         , 0.0011          ,         , 0               ,         , 0.00043         ,        
Lcals_HYDRO_2D            , -0.00062        ,         , 0.0071          ,         , 0               ,         , 0.088           ,        
Lcals_INT_PREDICT         , 0.0012          ,         , -0.00072        ,         , 0               ,         , -0.0018         ,        
Lcals_PLANCKIAN           , -0.0012         ,         , -0.0012         ,         , 0               ,         , -0.0079         ,        
Lcals_TRIDIAG_ELIM        , 0.00015         ,         , 0.00013         ,         , 0               ,         , 0.0029          ,        
Stream_ADD                , 0.0016          ,         , 0.0012          ,         , 0.00047         ,         , 0.0015          ,        
Stream_COPY               , 0.0014          ,         , -0.23           ,         , 0.00034         ,         , -6.8e-05        ,        
Stream_DOT                , -0.00013        ,         , 0.0094          ,         , 0               ,         , -0.2            ,        
Stream_MUL                , 0.0086          ,         , 0.0091          ,         , 0.0012          ,         , 0.0025          ,        
Stream_TRIAD              , 0.0013          ,         , 0.0043          ,         , -0.0033         ,         , -0.00076        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.04           ,         , -0.23           ,         , -0.018          ,         , -0.43           ,        
Col Max                   , 0.057           ,         , 8.8             ,         , 0.29            ,         , 0.77            ,        
Col Avg                   , 0.0027          ,         , 0.34            ,         , 0.065           ,         , 0.022           ,        
Col Std Dev               , 0.00018         ,         , 2.3             ,         , 0.013           ,         , 0.037           ,        
