Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , RAJA_WORKGROUP_CUDA , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      1.907 ,    0.599 ,     0.014 ,       0.014 ,     0.014 ,             Not run ,         0.016 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.119 ,    0.555 ,     0.013 ,       0.013 ,     0.013 ,             Not run ,         0.013 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.621 ,    1.408 ,     0.021 ,       0.021 ,     0.020 ,             Not run ,         0.021 ,        Not run
Basic_INIT3               ,    1.000 ,      1.283 ,    0.453 ,     0.013 ,       0.013 ,     0.013 ,             Not run ,         0.013 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.234 ,    0.563 ,     0.011 ,       0.011 ,     0.011 ,             Not run ,         0.011 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      2.271 ,    0.500 ,     0.021 ,       0.020 ,     0.021 ,             Not run ,         0.020 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      3.133 ,    3.811 ,     0.028 ,       0.029 ,     0.027 ,             Not run ,         0.028 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.828 ,    1.696 ,     0.023 ,       0.023 ,     0.023 ,             Not run ,         0.023 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.517 ,    1.796 ,     0.017 ,     Not run ,     0.017 ,             Not run ,         0.017 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.115 ,    1.062 ,     0.013 ,     Not run ,     0.013 ,             Not run ,         0.013 ,        Not run
