FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00093        ,         , -0.0017         ,         , 0.018           ,         , -0.0017         ,        
Apps_ENERGY               , 0.0014          ,         , -0.00065        ,         , 0               ,         , 0.00012         ,        
Apps_FIR                  , -0.00065        ,         , -0.078          ,         , 0               ,         , 0.052           ,        
Apps_HALOEXCHANGE         , 0.0038          ,         , 0.062           ,         , 0               ,         , -0.04           ,        
Apps_LTIMES               , 0.00041         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00037         ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00076        ,         , -0.0011         ,         , 0               ,         , 0.01            ,        
Apps_VOL3D                , 0.00056         ,         , 0.0089          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.012           ,         , 0.022           ,         , 0.00079         ,         , 0.0022          ,        
Basic_IF_QUAD             , -0.0078         ,         , 0.0011          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -0.00045        ,         , -3e-05          ,         , 0.00083         ,         , -0.00079        ,        
Basic_INIT_VIEW1D         , -0.00057        ,         , -0.00047        ,         , -0.001          ,         , 0.0041          ,        
Basic_INIT_VIEW1D_OFFSET  , 8e-05           ,         , 1.1             ,OVER_TOL , 0.0033          ,         , 0.0041          ,        
Basic_MULADDSUB           , 0.0012          ,         , -0.0026         ,         , 0.17            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0083          ,         , 0.0064          ,         , 0.01            ,        
Basic_PI_ATOMIC           , 4.4e-05         ,         , 1.5             ,OVER_TOL , -0.00041        ,         , 0.00015         ,        
Basic_REDUCE3_INT         , -0.00013        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.83            ,OVER_TOL
Basic_TRAP_INT            , -4.6e-05        ,         , -9e-06          ,         , 0               ,         , -0.34           ,        
Lcals_DIFF_PREDICT        , 0.00017         ,         , -0.12           ,         , 0               ,         , 0.0081          ,        
Lcals_EOS                 , 0.0011          ,         , 0.0013          ,         , 0               ,         , 0.0016          ,        
Lcals_FIRST_DIFF          , 0.0089          ,         , 0.012           ,         , 0               ,         , 0.00032         ,        
Lcals_FIRST_MIN           , -0.0091         ,         , 0.24            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.0068          ,         , 0.0077          ,         , 0               ,         , 0.047           ,        
Lcals_GEN_LIN_RECUR       , -5.2e-05        ,         , -0.00061        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00069         ,         , 0.00096         ,         , 0               ,         , 0.00044         ,        
Lcals_HYDRO_2D            , -0.00073        ,         , 0.0074          ,         , 0               ,         , 0.079           ,        
Lcals_INT_PREDICT         , 0.00071         ,         , 0.00051         ,         , 0               ,         , -0.0035         ,        
Lcals_PLANCKIAN           , 0.00046         ,         , -1.6e-05        ,         , 0               ,         , -0.003          ,        
Lcals_TRIDIAG_ELIM        , -0.0011         ,         , -0.0016         ,         , 0               ,         , 0.012           ,        
Stream_ADD                , 0.0002          ,         , 0.0035          ,         , 0.0012          ,         , 0.002           ,        
Stream_COPY               , 0.002           ,         , -0.25           ,         , 0.00047         ,         , 0.00029         ,        
Stream_DOT                , -0.00014        ,         , 0.0095          ,         , 0               ,         , -0.19           ,        
Stream_MUL                , 0.0083          ,         , 0.0087          ,         , 0.0027          ,         , 0.0026          ,        
Stream_TRIAD              , 7.4e-06         ,         , 0.0017          ,         , 0.00076         ,         , 0.00054         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0091         ,         , -0.25           ,         , -0.001          ,         , -0.43           ,        
Col Max                   , 0.056           ,         , 8.8             ,         , 0.29            ,         , 0.83            ,        
Col Avg                   , 0.0024          ,         , 0.34            ,         , 0.063           ,         , 0.022           ,        
Col Std Dev               , 0.0001          ,         , 2.3             ,         , 0.011           ,         , 0.038           ,        
