Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.282647 ,   1.282398 , 1.279709 ,  0.006773 ,    0.006714 ,  0.006747 ,       Not run ,        Not run
Apps_ENERGY               , 1.341017 ,   1.342488 , 1.341584 ,  0.037909 ,     Not run ,  0.037827 ,       Not run ,        Not run
Apps_FIR                  , 1.540951 ,   1.539662 , 1.420487 ,  0.004159 ,     Not run ,  0.004331 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.023569 ,   0.023947 , 0.024936 ,  0.039781 ,     Not run ,  0.039068 ,       Not run ,        Not run
Apps_LTIMES               , 1.710986 ,   1.711087 , 1.817016 ,  0.015423 ,    0.019864 ,  0.020306 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.707752 ,   1.709012 , 1.813100 ,  0.015438 ,    0.019861 ,  0.020275 ,       Not run ,        Not run
Apps_PRESSURE             , 1.579115 ,   1.575327 , 1.575600 ,  0.047017 ,     Not run ,  0.047323 ,       Not run ,        Not run
Apps_VOL3D                , 1.636529 ,   1.636642 , 1.651448 ,  0.006318 ,     Not run ,  0.005361 ,       Not run ,        Not run
Basic_DAXPY               , 0.283571 ,   0.290071 , 0.293604 ,  0.016406 ,    0.016437 ,  0.016426 ,      0.040578 ,        Not run
Basic_IF_QUAD             , 1.887759 ,   1.876007 , 1.898412 ,  0.012033 ,    0.013941 ,  0.013956 ,      0.021907 ,        Not run
Basic_INIT3               , 0.555366 ,   0.555223 , 0.555406 ,  0.026704 ,    0.026676 ,  0.026694 ,      0.052096 ,        Not run
Basic_INIT_VIEW1D         , 1.851180 ,   1.850218 , 1.850127 ,  0.030507 ,    0.030487 ,  0.030656 ,      0.183808 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719376 ,   1.719285 , 3.612074 ,  0.030454 ,    0.030568 ,  0.030747 ,      0.183983 ,        Not run
Basic_MULADDSUB           , 0.423364 ,   0.424168 , 0.422523 ,  0.018620 ,    0.022050 ,  0.022263 ,      0.036489 ,        Not run
Basic_NESTED_INIT         , 0.967678 ,   1.022365 , 0.975723 ,  0.017371 ,    0.017428 ,  0.017484 ,      0.074826 ,        Not run
Basic_PI_ATOMIC           , 0.119437 ,   0.119401 , 0.300897 ,  0.105118 ,    0.105096 ,  0.105157 ,      0.123534 ,        Not run
Basic_REDUCE3_INT         , 0.019009 ,   0.019009 , 0.186186 ,  0.004771 ,     Not run ,  0.008288 ,      0.003736 ,        Not run
Basic_TRAP_INT            , 0.271775 ,   0.271705 , 0.271702 ,  0.002294 ,     Not run ,  0.001479 ,      0.003507 ,        Not run
Lcals_DIFF_PREDICT        , 0.810546 ,   0.810601 , 0.710152 ,  0.051279 ,     Not run ,  0.051553 ,      0.076924 ,        Not run
Lcals_EOS                 , 0.983293 ,   0.984725 , 0.984508 ,  0.021777 ,     Not run ,  0.021844 ,      0.046503 ,        Not run
Lcals_FIRST_DIFF          , 1.087465 ,   1.114837 , 1.120939 ,  0.047086 ,     Not run ,  0.047096 ,      0.145621 ,        Not run
Lcals_FIRST_MIN           , 0.080413 ,   0.075776 , 0.095517 ,  0.006201 ,     Not run ,  0.003544 ,      0.009442 ,        Not run
Lcals_FIRST_SUM           , 1.098481 ,   1.117418 , 1.119304 ,  0.047057 ,     Not run ,  0.049482 ,      0.146480 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.263514 ,   1.263441 , 1.263481 ,  0.051529 ,     Not run ,  0.046423 ,      0.096273 ,        Not run
Lcals_HYDRO_1D            , 0.862914 ,   0.863764 , 0.863783 ,  0.032755 ,     Not run ,  0.032812 ,      0.080502 ,        Not run
Lcals_HYDRO_2D            , 1.406263 ,   1.406251 , 1.418387 ,  0.022348 ,     Not run ,  0.024254 ,      0.038520 ,        Not run
Lcals_INT_PREDICT         , 1.189762 ,   1.189930 , 1.189338 ,  0.044982 ,     Not run ,  0.045006 ,      0.064060 ,        Not run
Lcals_PLANCKIAN           , 1.341561 ,   1.341533 , 1.341646 ,  0.002688 ,     Not run ,  0.002671 ,      0.005243 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.966645 ,   0.966355 , 0.966769 ,  0.043330 ,     Not run ,  0.043511 ,      0.092557 ,        Not run
Stream_ADD                , 0.658036 ,   0.662708 , 0.665610 ,  0.032521 ,    0.032598 ,  0.032585 ,      0.081098 ,        Not run
Stream_COPY               , 1.206532 ,   1.211824 , 0.973976 ,  0.042145 ,    0.042133 ,  0.042172 ,      0.132207 ,        Not run
Stream_DOT                , 3.292238 ,   3.292227 , 3.321792 ,  0.099580 ,     Not run ,  0.079686 ,      0.179612 ,        Not run
Stream_MUL                , 0.950427 ,   0.968302 , 0.970388 ,  0.042145 ,    0.042246 ,  0.042291 ,      0.131782 ,        Not run
Stream_TRIAD              , 0.665834 ,   0.667923 , 0.669317 ,  0.032756 ,    0.032712 ,  0.032743 ,      0.080528 ,        Not run
