FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.36           ,         , 0.85            ,OVER_TOL , 0.049           ,         , 0.096           ,         , 0               ,        
Basic_DAXPY               , -0.12           ,         , 0.44            ,OVER_TOL , -0.0056         ,         , 0.0013          ,         , 0               ,        
Basic_IF_QUAD             , -0.35           ,         , -0.25           ,         , -0.022          ,         , 0.011           ,         , 0               ,        
Basic_INIT3               , -0.078          ,         , 1.9             ,OVER_TOL , 0.0084          ,         , 0.025           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0               ,         , 0.08            ,         , 0.0072          ,         , 0.0039          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.64           ,         , 0.62            ,OVER_TOL , -0.015          ,         , 0.017           ,         , 0               ,        
Basic_MULADDSUB           , -0.66           ,         , -0.59           ,         , 0.13            ,OVER_TOL , -0.0055         ,         , 0               ,        
Basic_NESTED_INIT         , -0.35           ,         , -0.44           ,         , -0.013          ,         , -0.0002         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.36           ,         , -0.43           ,         , 0               ,         , 0.017           ,         , 0               ,        
Basic_TRAP_INT            , 0.034           ,         , 0.19            ,OVER_TOL , 0               ,         , 0.013           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.66           ,         , -0.59           ,         , -0.022          ,         , -0.0055         ,         , 1.8e+308        ,        
Col Max                   , 0.034           ,         , 1.9             ,         , 0.13            ,         , 0.096           ,         , -1.8e+308       ,        
Col Avg                   , -0.29           ,         , 0.23            ,         , 0.018           ,         , 0.018           ,         , 0               ,        
Col Std Dev               , 0.054           ,         , 0.51            ,         , 0.0024          ,         , 0.00076         ,         , 0               ,        
