Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            , 1.927410 ,    Not run , 2.023195 ,   Not run ,     Not run ,  0.021244 ,      0.085602 ,        Not run
Algorithm_SORTPAIRS       , 2.021965 ,    Not run , 2.167931 ,   Not run ,     Not run ,  0.023255 ,      0.000000 ,        Not run
Apps_DEL_DOT_VEC_2D       , 1.283146 ,   1.282507 , 1.281462 ,  0.006896 ,    0.006768 ,  0.006840 ,      0.066578 ,        Not run
Apps_ENERGY               , 1.339312 ,   1.337483 , 1.337901 ,  0.037845 ,     Not run ,  0.037861 ,      0.126424 ,        Not run
Apps_FIR                  , 1.539138 ,   1.557701 , 1.420897 ,  0.004155 ,     Not run ,  0.004371 ,      0.022592 ,        Not run
Apps_HALOEXCHANGE         , 0.024230 ,   0.024720 , 0.026444 ,  0.033024 ,     Not run ,  0.032743 ,      1.090394 ,        Not run
Apps_LTIMES               , 1.708590 ,   1.707826 , 1.825167 ,  0.013604 ,    0.015941 ,  0.016448 ,      0.026265 ,        Not run
Apps_LTIMES_NOVIEW        , 1.708614 ,   1.707148 , 1.804112 ,  0.012909 ,    0.015152 ,  0.015571 ,       Not run ,        Not run
Apps_PRESSURE             , 1.579699 ,   1.580014 , 1.581803 ,  0.046817 ,     Not run ,  0.047149 ,      0.203705 ,        Not run
Apps_VOL3D                , 1.635837 ,   1.635592 , 1.648244 ,  0.006405 ,     Not run ,  0.005389 ,      0.018575 ,        Not run
Basic_DAXPY               , 0.286519 ,   0.293203 , 0.294520 ,  0.016382 ,    0.016397 ,  0.016398 ,      0.069895 ,        Not run
Basic_IF_QUAD             , 1.849369 ,   1.889366 , 1.877116 ,  0.012101 ,    0.014139 ,  0.014088 ,      0.032148 ,        Not run
Basic_INIT3               , 0.536705 ,   0.536729 , 0.538653 ,  0.027012 ,    0.027010 ,  0.026980 ,      0.080235 ,        Not run
Basic_INIT_VIEW1D         , 1.850129 ,   1.850126 , 1.850271 ,  0.030174 ,    0.030157 ,  0.030295 ,      0.348293 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719330 ,   1.719978 , 3.616897 ,  0.030442 ,    0.030534 ,  0.030670 ,      0.347868 ,        Not run
Basic_MULADDSUB           , 0.425546 ,   0.424345 , 0.424514 ,  0.018941 ,    0.022332 ,  0.022257 ,      0.056592 ,        Not run
Basic_NESTED_INIT         , 1.022434 ,   1.022357 , 0.969216 ,  0.012173 ,    0.012300 ,  0.014145 ,      0.139870 ,        Not run
Basic_PI_ATOMIC           , 0.119422 ,   0.119445 , 0.300889 ,  0.119281 ,    0.110840 ,  0.106952 ,      0.160191 ,        Not run
Basic_REDUCE3_INT         , 0.019013 ,   0.019007 , 0.181500 ,  0.002078 ,     Not run ,  0.002559 ,      0.010307 ,        Not run
Basic_TRAP_INT            , 0.271723 ,   0.271727 , 0.271699 ,  0.002285 ,     Not run ,  0.001491 ,      0.010102 ,        Not run
Lcals_DIFF_PREDICT        , 0.810239 ,   0.810436 , 0.710537 ,  0.051657 ,     Not run ,  0.051430 ,      0.081293 ,        Not run
Lcals_EOS                 , 0.983477 ,   0.984934 , 0.984613 ,  0.021799 ,     Not run ,  0.021814 ,      0.074646 ,        Not run
Lcals_FIRST_DIFF          , 1.103823 ,   1.120859 , 1.117251 ,  0.047066 ,     Not run ,  0.047057 ,      0.279286 ,        Not run
Lcals_FIRST_MIN           , 0.075820 ,   0.075848 , 0.093878 ,  0.006221 ,     Not run ,  0.003481 ,      0.022642 ,        Not run
Lcals_FIRST_SUM           , 1.104526 ,   1.118770 , 1.120324 ,  0.047058 ,     Not run ,  0.049615 ,      0.278915 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.261944 ,   1.262046 , 1.261911 ,  0.051413 ,     Not run ,  0.046153 ,      0.150511 ,        Not run
Lcals_HYDRO_1D            , 0.864336 ,   0.862193 , 0.862590 ,  0.032678 ,     Not run ,  0.032686 ,      0.140529 ,        Not run
Lcals_HYDRO_2D            , 1.424066 ,   1.425784 , 1.424012 ,  0.022294 ,     Not run ,  0.022587 ,      0.054900 ,        Not run
Lcals_INT_PREDICT         , 1.184650 ,   1.188705 , 1.184894 ,  0.045083 ,     Not run ,  0.045138 ,      0.086915 ,        Not run
Lcals_PLANCKIAN           , 1.346340 ,   1.346376 , 1.346560 ,  0.002688 ,     Not run ,  0.002653 ,      0.008119 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.965324 ,   0.965197 , 0.964278 ,  0.043211 ,     Not run ,  0.043513 ,      0.148510 ,        Not run
Stream_ADD                , 0.702748 ,   0.708220 , 0.703887 ,  0.032688 ,    0.032723 ,  0.032764 ,      0.140615 ,        Not run
Stream_COPY               , 1.201561 ,   1.202286 , 0.853237 ,  0.042081 ,    0.042100 ,  0.042095 ,      0.250892 ,        Not run
Stream_DOT                , 3.291665 ,   3.291701 , 3.342756 ,  0.102660 ,     Not run ,  0.079994 ,      0.438639 ,        Not run
Stream_MUL                , 0.953758 ,   0.971363 , 0.974356 ,  0.042028 ,    0.042103 ,  0.042123 ,      0.252534 ,        Not run
Stream_TRIAD              , 0.670579 ,   0.664984 , 0.665325 ,  0.032515 ,    0.032510 ,  0.032508 ,      0.140962 ,        Not run
