FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00067        ,         , 1.5             ,OVER_TOL , -0.00064        ,         , 0.028           ,         , 0               ,        
Basic_DAXPY               , 5.7e-06         ,         , 0.0049          ,         , -0.025          ,         , 0.0015          ,         , 0               ,        
Basic_IF_QUAD             , 0.017           ,         , 0.016           ,         , 0.076           ,         , 0.073           ,         , 0               ,        
Basic_INIT3               , 1.3e-05         ,         , -0.0021         ,         , 0.0045          ,         , -0.0057         ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00039         ,         , 0.00024         ,         , 0.0017          ,         , -0.0084         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00074        ,         , 1.1             ,OVER_TOL , 0.0035          ,         , 0.0056          ,         , 0               ,        
Basic_MULADDSUB           , 2.3e-05         ,         , 0.00065         ,         , 0.083           ,         , 0.072           ,         , 0               ,        
Basic_NESTED_INIT         , 3.8e-05         ,         , 0.0024          ,         , 0.0005          ,         , -0.00034        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0005         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00064         ,         , -2.3e-05        ,         , 0               ,         , -0.39           ,         , 0               ,        
Stream_ADD                , -0.0018         ,         , -0.00098        ,         , 0.0014          ,         , 0.0016          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0018         ,         , -0.0021         ,         , -0.025          ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.017           ,         , 8.8             ,         , 0.083           ,         , 0.17            ,         , -1.8e+308       ,        
Col Avg                   , 0.0013          ,         , 1               ,         , 0.016           ,         , -0.0048         ,         , 0               ,        
Col Std Dev               , 2.5e-05         ,         , 6.3             ,         , 0.0012          ,         , 0.017           ,         , 0               ,        
