FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.25           ,         , 0.29            ,OVER_TOL , -0.047          ,         , 0.014           ,         , 0               ,        
Basic_DAXPY               , -0.65           ,         , -0.02           ,         , -0.15           ,         , -0.16           ,         , 0               ,        
Basic_IF_QUAD             , -0.76           ,         , 0.19            ,OVER_TOL , -0.029          ,         , 0.054           ,         , 0               ,        
Basic_INIT3               , -0.68           ,         , -0.05           ,         , -0.0091         ,         , 0.029           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.73           ,         , -0.14           ,         , -0.021          ,         , 0.0063          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.74           ,         , 0.11            ,OVER_TOL , -0.04           ,         , -0.06           ,         , 0               ,        
Basic_MULADDSUB           , -0.78           ,         , -0.76           ,         , -0.015          ,         , 0.046           ,         , 0               ,        
Basic_NESTED_INIT         , -0.75           ,         , -0.75           ,         , -0.011          ,         , -0.039          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.6            ,         , -0.7            ,         , 0               ,         , -0.0046         ,         , 0               ,        
Basic_TRAP_INT            , -0.36           ,         , -0.079          ,         , 0               ,         , -0.0069         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.78           ,         , -0.76           ,         , -0.15           ,         , -0.16           ,         , 1.8e+308        ,        
Col Max                   , -0.25           ,         , 0.29            ,         , -0.0091         ,         , 0.054           ,         , -1.8e+308       ,        
Col Avg                   , -0.63           ,         , -0.19           ,         , -0.04           ,         , -0.012          ,         , 0               ,        
Col Std Dev               , 0.03            ,         , 0.14            ,         , 0.0019          ,         , 0.0035          ,         , 0               ,        
