FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00031         ,         , 1.5             ,OVER_TOL , -0.002          ,         , 0.031           ,         , 0               ,        
Basic_DAXPY               , -0.00014        ,         , -0.00037        ,         , -0.011          ,         , 0.014           ,         , 0               ,        
Basic_IF_QUAD             , 0.02            ,         , 0.019           ,         , 0.078           ,         , 0.071           ,         , 0               ,        
Basic_INIT3               , 8.2e-06         ,         , 0.0013          ,         , 0.00098         ,         , 0.00087         ,         , 0               ,        
Basic_INIT_VIEW1D         , -4e-05          ,         , 0.00064         ,         , 0.0013          ,         , -0.00055        ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 3.6e-05         ,         , 1.1             ,OVER_TOL , 0.0035          ,         , 0.0045          ,         , 0               ,        
Basic_MULADDSUB           , -0.00016        ,         , 0.00075         ,         , 0.078           ,         , 0.068           ,         , 0               ,        
Basic_NESTED_INIT         , 4.8e-05         ,         , 0.0027          ,         , 0.0016          ,         , 0.00078         ,         , 0               ,        
Basic_REDUCE3_INT         , 4e-05           ,         , 8.5             ,OVER_TOL , 0               ,         , 0.26            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00011        ,         , -0.00013        ,         , 0               ,         , -0.39           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00016        ,         , -0.00037        ,         , -0.011          ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.02            ,         , 8.5             ,         , 0.078           ,         , 0.26            ,         , -1.8e+308       ,        
Col Avg                   , 0.002           ,         , 1.1             ,         , 0.019           ,         , 0.0063          ,         , 0               ,        
Col Std Dev               , 3.6e-05         ,         , 6.4             ,         , 0.0012          ,         , 0.023           ,         , 0               ,        
