FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.051           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.078           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0003         ,         , -0.0031         ,         , -0.01           ,         , -0.0027         ,        
Apps_ENERGY               , 0.001           ,         , -0.0018         ,         , 0               ,         , -0.0031         ,        
Apps_FIR                  , 0.012           ,         , -0.077          ,         , 0               ,         , 0.045           ,        
Apps_HALOEXCHANGE         , 0.033           ,         , 0.078           ,         , 0               ,         , -0.0095         ,        
Apps_LTIMES               , -0.00025        ,         , 0.069           ,         , 0.18            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.00069        ,         , 0.055           ,         , 0.17            ,OVER_TOL , 0.2             ,OVER_TOL
Apps_PRESSURE             , 0.0013          ,         , -0.00057        ,         , 0               ,         , 0.0056          ,        
Apps_VOL3D                , 3.4e-05         ,         , 0.0076          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.012           ,         , 0.013           ,         , 0.00076         ,         , 0.0016          ,        
Basic_IF_QUAD             , 0.022           ,         , 0.014           ,         , 0.2             ,OVER_TOL , 0.19            ,OVER_TOL
Basic_INIT3               , 3.4e-05         ,         , -3.6e-05        ,         , -0.013          ,         , -0.00092        ,        
Basic_INIT_VIEW1D         , -4.9e-05        ,         , 8.5e-05         ,         , -0.00011        ,         , 0.0057          ,        
Basic_INIT_VIEW1D_OFFSET  , 2.4e-05         ,         , 1.1             ,OVER_TOL , 0.0039          ,         , 0.0091          ,        
Basic_MULADDSUB           , -0.00083        ,         , -0.00056        ,         , 0.23            ,OVER_TOL , 0.23            ,OVER_TOL
Basic_NESTED_INIT         , 2.3e-05         ,         , -0.053          ,         , 0.0051          ,         , 0.14            ,OVER_TOL
Basic_PI_ATOMIC           , 0.0003          ,         , 1.5             ,OVER_TOL , -0.06           ,         , -0.079          ,        
Basic_REDUCE3_INT         , 0.00011         ,         , 8.5             ,OVER_TOL , 0               ,         , 0.15            ,OVER_TOL
Basic_TRAP_INT            , -1.2e-05        ,         , 3.3e-05         ,         , 0               ,         , -0.39           ,        
Lcals_DIFF_PREDICT        , -0.00057        ,         , -0.13           ,         , 0               ,         , 0.0027          ,        
Lcals_EOS                 , 0.0011          ,         , 0.00094         ,         , 0               ,         , 0.00065         ,        
Lcals_FIRST_DIFF          , 0.0092          ,         , 0.011           ,         , 0               ,         , -5.5e-05        ,        
Lcals_FIRST_MIN           , 0.00012         ,         , 0.26            ,OVER_TOL , 0               ,         , -0.47           ,        
Lcals_FIRST_SUM           , 0.01            ,         , 0.011           ,         , 0               ,         , 0.052           ,        
Lcals_GEN_LIN_RECUR       , 0.00022         ,         , -0.00013        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , -0.00062        ,         , -0.00058        ,         , 0               ,         , 0.00019         ,        
Lcals_HYDRO_2D            , -0.00024        ,         , 0.00029         ,         , 0               ,         , 0.015           ,        
Lcals_INT_PREDICT         , 3.5e-05         ,         , -8.9e-05        ,         , 0               ,         , 0.00017         ,        
Lcals_PLANCKIAN           , -1.1e-05        ,         , 4.7e-05         ,         , 0               ,         , 0.0041          ,        
Lcals_TRIDIAG_ELIM        , -0.002          ,         , -0.0018         ,         , 0               ,         , 0.0068          ,        
Stream_ADD                , 0.0022          ,         , 0.0026          ,         , 0.0017          ,         , 0.0022          ,        
Stream_COPY               , 0.0039          ,         , -0.26           ,         , 0.00038         ,         , 0.00059         ,        
Stream_DOT                , 1.8e-05         ,         , 0.015           ,         , 0               ,         , -0.25           ,        
Stream_MUL                , 0.0034          ,         , 0.0034          ,         , 0.0023          ,         , 0.0038          ,        
Stream_TRIAD              , 0.0038          ,         , 0.0054          ,         , -0.00068        ,         , -0.00051        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.002          ,         , -0.26           ,         , -0.06           ,         , -0.47           ,        
Col Max                   , 0.033           ,         , 8.5             ,         , 0.23            ,         , inf             ,        
Col Avg                   , 0.0033          ,         , 0.31            ,         , 0.047           ,         , inf             ,        
Col Std Dev               , 5.2e-05         ,         , 2               ,         , 0.0083          ,         , nan             ,        
