FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Apps_DEL_DOT_VEC_2D       , -1.9e-05        ,         , -0.0017         ,         , -0.031          ,         , 0.023           ,         , 0               ,        
Apps_ENERGY               , -0.002          ,         , -0.063          ,         , 0               ,         , 0.0066          ,         , 0               ,        
Apps_FIR                  , -0.00061        ,         , -0.082          ,         , 0               ,         , 0.13            ,OVER_TOL , 0               ,        
Apps_HALOEXCHANGE         , 0.32            ,OVER_TOL , 0.34            ,OVER_TOL , 0               ,         , -0.0037         ,         , -0.9            ,        
Apps_LTIMES               , 0.00065         ,         , 0.063           ,         , 0.28            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_LTIMES_NOVIEW        , -0.00049        ,         , 0.063           ,         , 0.28            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_PRESSURE             , -0.073          ,         , -0.077          ,         , 0               ,         , 0.0013          ,         , 0               ,        
Apps_VOL3D                , -7.7e-05        ,         , 0.0052          ,         , 0               ,         , -0.14           ,         , 0               ,        
Basic_ATOMIC_PI           , -0.00014        ,         , 1.5             ,OVER_TOL , -0.00072        ,         , 0.025           ,         , 0               ,        
Basic_DAXPY               , -0.00022        ,         , -0.0059         ,         , -0.0031         ,         , 0.00072         ,         , 0               ,        
Basic_IF_QUAD             , 0.0039          ,         , 0.0028          ,         , 0.085           ,         , 0.081           ,         , 0               ,        
Basic_INIT3               , 0.0021          ,         , 0.0036          ,         , -0.0047         ,         , 0.0068          ,         , 0               ,        
Basic_INIT_VIEW1D         , -1.3e-05        ,         , 0.00025         ,         , 0.00085         ,         , 0.0014          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 2.9e-05         ,         , 1.1             ,OVER_TOL , 0.0094          ,         , 0.034           ,         , 0               ,        
Basic_MULADDSUB           , 3e-05           ,         , 0.00072         ,         , 0.069           ,         , 0.071           ,         , 0               ,        
Basic_NESTED_INIT         , 0.0026          ,         , 0.0025          ,         , 0.00096         ,         , -0.00026        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0005         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.12            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -3.2e-05        ,         , 2.9e-05         ,         , 0               ,         , -0.41           ,         , 0               ,        
Lcals_DIFF_PREDICT        , 0.00035         ,         , -0.15           ,         , 0               ,         , 0.00047         ,         , 0               ,        
Lcals_EOS                 , 0.00028         ,         , 0.0014          ,         , 0               ,         , 0.0095          ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0018          ,         , 0.00088         ,         , 0               ,         , 0.0011          ,         , 0               ,        
Lcals_FIRST_MIN           , 0.075           ,         , 0.23            ,OVER_TOL , 0               ,         , -0.43           ,         , 0               ,        
Lcals_FIRST_SUM           , -0.00016        ,         , 0.0041          ,         , 0               ,         , -0.0069         ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.00038        ,         , 0.00042         ,         , 0               ,         , -0.0077         ,         , 0               ,        
Lcals_HYDRO_1D            , 0.0012          ,         , 0.0023          ,         , 0               ,         , -0.00079        ,         , 0               ,        
Lcals_HYDRO_2D            , -0.0014         ,         , 0.0062          ,         , 0               ,         , 0.094           ,         , 0               ,        
Lcals_INT_PREDICT         , 1.9e-05         ,         , 0.00027         ,         , 0               ,         , 0.017           ,         , 0               ,        
Lcals_PLANCKIAN           , -7.8e-06        ,         , -3.4e-05        ,         , 0               ,         , -0.026          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.00015        ,         , 0.00046         ,         , 0               ,         , 0.026           ,         , 0               ,        
Stream_ADD                , -0.00084        ,         , -0.00062        ,         , 0.0017          ,         , 0.0021          ,         , 0               ,        
Stream_COPY               , 0.012           ,         , -0.17           ,         , -0.00054        ,         , 0.00041         ,         , 0               ,        
Stream_DOT                , -0.00029        ,         , 0.0035          ,         , 0               ,         , -0.21           ,         , 0               ,        
Stream_MUL                , 0.0078          ,         , 0.0084          ,         , 0.0018          ,         , 0.0031          ,         , 0               ,        
Stream_TRIAD              , 0.00025         ,         , 0.00037         ,         , 0.0013          ,         , 0.00019         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.073          ,         , -0.17           ,         , -0.031          ,         , -0.43           ,         , -0.9            ,        
Col Max                   , 0.32            ,         , 8.8             ,         , 0.28            ,         , 0.31            ,         , -0.9            ,        
Col Avg                   , 0.01            ,         , 0.34            ,         , 0.046           ,         , 0.00079         ,         , -0.9            ,        
Col Std Dev               , 0.0032          ,         , 2.3             ,         , 0.0094          ,         , 0.02            ,         , 0               ,        
