Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , RAJA_WORKGROUP_CUDA , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      1.167 ,    1.069 ,     0.013 ,       0.014 ,     0.014 ,             Not run ,         0.014 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.153 ,    0.571 ,     0.013 ,       0.013 ,     0.013 ,             Not run ,         0.013 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.703 ,    0.901 ,     0.021 ,       0.021 ,     0.020 ,             Not run ,         0.021 ,        Not run
Basic_INIT3               ,    1.000 ,      0.956 ,    0.565 ,     0.012 ,       0.012 ,     0.012 ,             Not run ,         0.013 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      2.180 ,    1.415 ,     0.022 ,       0.025 ,     0.025 ,             Not run ,         0.021 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.088 ,    0.569 ,     0.014 ,       0.014 ,     0.014 ,             Not run ,         0.014 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      2.500 ,    2.109 ,     0.027 ,       0.027 ,     0.026 ,             Not run ,         0.027 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.175 ,    1.015 ,     0.013 ,       0.013 ,     0.013 ,             Not run ,         0.013 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.158 ,    1.320 ,     0.012 ,     Not run ,     0.013 ,             Not run ,         0.013 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.404 ,    0.440 ,     0.013 ,     Not run ,     0.012 ,             Not run ,         0.013 ,        Not run
