FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.14           ,         , -0.065          ,         , -0.069          ,         , -0.082          ,         , 0               ,        
Basic_DAXPY               , -0.13           ,         , 0.75            ,OVER_TOL , 0.0021          ,         , 0.026           ,         , 0               ,        
Basic_IF_QUAD             , -0.41           ,         , 0.11            ,OVER_TOL , -0.014          ,         , 0.015           ,         , 0               ,        
Basic_INIT3               , 0.046           ,         , 0.77            ,OVER_TOL , 0.012           ,         , 0.012           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.54           ,         , -0.29           ,         , -0.12           ,         , -0.12           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.081          ,         , 0.76            ,OVER_TOL , -0.016          ,         , -0.024          ,         , 0               ,        
Basic_MULADDSUB           , -0.6            ,         , -0.53           ,         , 0.0026          ,         , 0.021           ,         , 0               ,        
Basic_NESTED_INIT         , -0.15           ,         , -0.015          ,         , -0.043          ,         , -0.039          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.14           ,         , -0.24           ,         , 0               ,         , -0.022          ,         , 0               ,        
Basic_TRAP_INT            , -0.29           ,         , 1.3             ,OVER_TOL , 0               ,         , 0.04            ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.6            ,         , -0.53           ,         , -0.12           ,         , -0.12           ,         , 1.8e+308        ,        
Col Max                   , 0.046           ,         , 1.3             ,         , 0.012           ,         , 0.04            ,         , -1.8e+308       ,        
Col Avg                   , -0.24           ,         , 0.25            ,         , -0.031          ,         , -0.017          ,         , 0               ,        
Col Std Dev               , 0.04            ,         , 0.32            ,         , 0.0019          ,         , 0.0023          ,         , 0               ,        
