FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00036         ,         , 1.5             ,OVER_TOL , -0.0012         ,         , 0.023           ,         , 0               ,        
Basic_DAXPY               , 1.9e-06         ,         , 0.00084         ,         , 0.02            ,         , 0.0093          ,         , 0               ,        
Basic_IF_QUAD             , 0.021           ,         , 0.019           ,         , 0.075           ,         , 0.08            ,         , 0               ,        
Basic_INIT3               , 0.00013         ,         , -0.00027        ,         , -0.00043        ,         , -7.6e-05        ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.00046        ,         , 0.0002          ,         , 0.00076         ,         , -4.9e-05        ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -2e-05          ,         , 1.1             ,OVER_TOL , 0.03            ,         , 0.038           ,         , 0               ,        
Basic_MULADDSUB           , -7.1e-05        ,         , 0.00072         ,         , 0.084           ,         , 0.085           ,         , 0               ,        
Basic_NESTED_INIT         , 4e-05           ,         , 0.0028          ,         , 0.0024          ,         , 0.00098         ,         , 0               ,        
Basic_REDUCE3_INT         , -8.7e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.0008         ,         , -0.00075        ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , 0.0046          ,         , 0.005           ,         , 0.00075         ,         , 0.0014          ,         , 0               ,        
Stream_COPY               , 0.0035          ,         , -0.2            ,         , 0.00056         ,         , -0.00027        ,         , 0               ,        
Stream_DOT                , -0.00056        ,         , 0.0029          ,         , 0               ,         , -0.18           ,         , 0               ,        
Stream_MUL                , 0.0079          ,         , 0.0086          ,         , 0.002           ,         , 0.0027          ,         , 0               ,        
Stream_TRIAD              , 0.0027          ,         , 0.00091         ,         , 0.00077         ,         , 0.00018         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0008         ,         , -0.2            ,         , -0.0012         ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.021           ,         , 8.5             ,         , 0.084           ,         , 0.17            ,         , -1.8e+308       ,        
Col Avg                   , 0.0025          ,         , 0.73            ,         , 0.018           ,         , -0.011          ,         , 0               ,        
Col Std Dev               , 3e-05           ,         , 4.6             ,         , 0.00085         ,         , 0.016           ,         , 0               ,        
