FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00058         ,         , 1.5             ,OVER_TOL , -0.0025         ,         , 0.03            ,         , 0               ,        
Basic_DAXPY               , -7.8e-05        ,         , 0.0013          ,         , -0.011          ,         , 0.023           ,         , 0               ,        
Basic_IF_QUAD             , 0.02            ,         , 0.022           ,         , 0.077           ,         , 0.076           ,         , 0               ,        
Basic_INIT3               , -4e-05          ,         , -0.0022         ,         , -0.00016        ,         , 0.00056         ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00042         ,         , 0.00022         ,         , 0.00052         ,         , -0.0002         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00046         ,         , 1.1             ,OVER_TOL , 0.003           ,         , 0.0054          ,         , 0               ,        
Basic_MULADDSUB           , -1.3e-06        ,         , 0.00088         ,         , 0.082           ,         , 0.075           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0014         ,         , 0.0012          ,         , 0.00053         ,         , 0.00041         ,         , 0               ,        
Basic_REDUCE3_INT         , -5.5e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.24            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -8.1e-05        ,         , 0.00063         ,         , 0               ,         , -0.38           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0014         ,         , -0.0022         ,         , -0.011          ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.02            ,         , 8.5             ,         , 0.082           ,         , 0.24            ,         , -1.8e+308       ,        
Col Avg                   , 0.002           ,         , 1.1             ,         , 0.019           ,         , 0.0061          ,         , 0               ,        
Col Std Dev               , 3.8e-05         ,         , 6.4             ,         , 0.0013          ,         , 0.022           ,         , 0               ,        
