FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Apps_DEL_DOT_VEC_2D       , 0.00068         ,         , -0.0023         ,         , -0.03           ,         , 0.025           ,         , 0               ,        
Apps_ENERGY               , -0.0028         ,         , -0.065          ,         , 0               ,         , 0.0087          ,         , 0               ,        
Apps_FIR                  , -0.0006         ,         , -0.082          ,         , 0               ,         , 0.14            ,OVER_TOL , 0               ,        
Apps_HALOEXCHANGE         , 0.03            ,         , 0.22            ,OVER_TOL , 0               ,         , -0.0061         ,         , -0.9            ,        
Apps_LTIMES               , -0.00056        ,         , 0.062           ,         , 0.28            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_LTIMES_NOVIEW        , -0.00046        ,         , 0.063           ,         , 0.28            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_PRESSURE             , -0.073          ,         , -0.073          ,         , 0               ,         , -0.0026         ,         , 0               ,        
Apps_VOL3D                , 3.4e-05         ,         , 0.0038          ,         , 0               ,         , -0.13           ,         , 0               ,        
Basic_ATOMIC_PI           , 0.012           ,         , 1.5             ,OVER_TOL , -0.0011         ,         , 0.02            ,         , 0               ,        
Basic_DAXPY               , -0.00028        ,         , -0.0031         ,         , -0.0072         ,         , -0.007          ,         , 0               ,        
Basic_IF_QUAD             , 0.0049          ,         , 0.0039          ,         , 0.084           ,         , 0.076           ,         , 0               ,        
Basic_INIT3               , 0.0023          ,         , 0.0037          ,         , -0.0027         ,         , 0.0065          ,         , 0               ,        
Basic_INIT_VIEW1D         , 2.5e-05         ,         , 0.00026         ,         , 1.7e-05         ,         , -0.0014         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -2.4e-05        ,         , 1.1             ,OVER_TOL , 0.0017          ,         , 0.0028          ,         , 0               ,        
Basic_MULADDSUB           , 4.5e-05         ,         , 0.00067         ,         , 0.085           ,         , 0.087           ,         , 0               ,        
Basic_NESTED_INIT         , -8.5e-06        ,         , 0.0025          ,         , 0.001           ,         , 0.00057         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0005         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.11            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -1.9e-05        ,         , 0.00077         ,         , 0               ,         , -0.39           ,         , 0               ,        
Lcals_DIFF_PREDICT        , 0.00022         ,         , -0.15           ,         , 0               ,         , -0.00053        ,         , 0               ,        
Lcals_EOS                 , 0.0002          ,         , 0.0014          ,         , 0               ,         , 0.0085          ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0013          ,         , 0.00026         ,         , 0               ,         , 0.0022          ,         , 0               ,        
Lcals_FIRST_MIN           , 0.18            ,OVER_TOL , 0.27            ,OVER_TOL , 0               ,         , -0.43           ,         , 0               ,        
Lcals_FIRST_SUM           , -0.00033        ,         , 0.005           ,         , 0               ,         , -0.0036         ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.00038        ,         , -0.0001         ,         , 0               ,         , 0.0044          ,         , 0               ,        
Lcals_HYDRO_1D            , 0.0012          ,         , 0.0023          ,         , 0               ,         , 0.00057         ,         , 0               ,        
Lcals_HYDRO_2D            , -0.00013        ,         , 0.0081          ,         , 0               ,         , 0.096           ,         , 0               ,        
Lcals_INT_PREDICT         , 0.015           ,         , 0.015           ,         , 0               ,         , 0.022           ,         , 0               ,        
Lcals_PLANCKIAN           , -6.2e-05        ,         , 9.4e-06         ,         , 0               ,         , -0.021          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.00067        ,         , -0.00013        ,         , 0               ,         , 0.041           ,         , 0               ,        
Stream_ADD                , 0.0019          ,         , 0.0018          ,         , 0.003           ,         , 0.0017          ,         , 0               ,        
Stream_COPY               , 0.0046          ,         , -0.19           ,         , -0.00082        ,         , 0.00015         ,         , 0               ,        
Stream_DOT                , -0.00038        ,         , 0.00029         ,         , 0               ,         , -0.22           ,         , 0               ,        
Stream_MUL                , 0.0074          ,         , 0.0099          ,         , 0.0018          ,         , 0.0032          ,         , 0               ,        
Stream_TRIAD              , 0.00028         ,         , 0.00072         ,         , -0.0011         ,         , -0.00029        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.073          ,         , -0.19           ,         , -0.03           ,         , -0.43           ,         , -0.9            ,        
Col Max                   , 0.18            ,         , 8.8             ,         , 0.28            ,         , 0.31            ,         , -0.9            ,        
Col Avg                   , 0.0052          ,         , 0.34            ,         , 0.046           ,         , 0.0015          ,         , -0.9            ,        
Col Std Dev               , 0.0011          ,         , 2.3             ,         , 0.0095          ,         , 0.019           ,         , 0               ,        
