FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00022         ,         , 1.5             ,OVER_TOL , 2e-05           ,         , 0.026           ,         , 0               ,        
Basic_DAXPY               , -0.00022        ,         , -0.0059         ,         , -0.0083         ,         , 0.0044          ,         , 0               ,        
Basic_IF_QUAD             , 0.0028          ,         , 0.0026          ,         , 0.078           ,         , 0.091           ,         , 0               ,        
Basic_INIT3               , -0.0003         ,         , 0.0014          ,         , 0.0094          ,         , 0.0059          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00035         ,         , 0.00017         ,         , 0.00046         ,         , 0.0011          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 2.4e-05         ,         , 1.1             ,OVER_TOL , 0.0014          ,         , 0.0033          ,         , 0               ,        
Basic_MULADDSUB           , 3.5e-05         ,         , 0.00084         ,         , 0.088           ,         , 0.088           ,         , 0               ,        
Basic_NESTED_INIT         , -2.6e-05        ,         , 0.0025          ,         , 0.0018          ,         , 4.9e-05         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00019        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.052           ,         , 0               ,        
Basic_TRAP_INT            , -8.8e-05        ,         , -0.00014        ,         , 0               ,         , -0.41           ,         , 0               ,        
Stream_ADD                , 0.00039         ,         , 0.00079         ,         , 0.00063         ,         , 0.0013          ,         , 0               ,        
Stream_COPY               , 0.0031          ,         , -0.21           ,         , -1.1e-06        ,         , -0.00017        ,         , 0               ,        
Stream_DOT                , -0.00048        ,         , 0.0012          ,         , 0               ,         , -0.2            ,         , 0               ,        
Stream_MUL                , 0.023           ,         , 0.03            ,         , 0.0019          ,         , -0.00031        ,         , 0               ,        
Stream_TRIAD              , 0.0004          ,         , 0.0014          ,         , 0.0002          ,         , -0.00081        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00048        ,         , -0.21           ,         , -0.0083         ,         , -0.41           ,         , 1.8e+308        ,        
Col Max                   , 0.023           ,         , 8.6             ,         , 0.088           ,         , 0.091           ,         , -1.8e+308       ,        
Col Avg                   , 0.002           ,         , 0.73            ,         , 0.015           ,         , -0.022          ,         , 0               ,        
Col Std Dev               , 3.4e-05         ,         , 4.6             ,         , 0.00096         ,         , 0.015           ,         , 0               ,        
