FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00066        ,         , 1.5             ,OVER_TOL , -0.0026         ,         , 0.027           ,         , 0               ,        
Basic_DAXPY               , -0.00013        ,         , -0.0029         ,         , -0.0057         ,         , 0.011           ,         , 0               ,        
Basic_IF_QUAD             , 0.0036          ,         , 0.006           ,         , 0.078           ,         , 0.079           ,         , 0               ,        
Basic_INIT3               , -0.0022         ,         , -0.0004         ,         , -0.00069        ,         , 0.0077          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00038         ,         , 0.00017         ,         , 0.0079          ,         , 0.013           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00043         ,         , 1.1             ,OVER_TOL , 0.029           ,         , 0.026           ,         , 0               ,        
Basic_MULADDSUB           , 4.7e-05         ,         , 0.0029          ,         , -0.0064         ,         , 0.0017          ,         , 0               ,        
Basic_NESTED_INIT         , -0.00083        ,         , 0.0019          ,         , 0.00066         ,         , -0.00043        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00015        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.1             ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00063         ,         , -4.8e-05        ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , 2.6e-05         ,         , 0.0012          ,         , 0.00017         ,         , 0.0011          ,         , 0               ,        
Stream_COPY               , 0.00037         ,         , -0.22           ,         , 0.00085         ,         , 0.00071         ,         , 0               ,        
Stream_DOT                , -0.00081        ,         , 0.0013          ,         , 0               ,         , -0.22           ,         , 0               ,        
Stream_MUL                , 0.0064          ,         , 0.0055          ,         , 0.0026          ,         , -0.0068         ,         , 0               ,        
Stream_TRIAD              , -0.00024        ,         , 0.00062         ,         , -0.00027        ,         , 7.9e-05         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0022         ,         , -0.22           ,         , -0.0064         ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.0064          ,         , 8.6             ,         , 0.078           ,         , 0.1             ,         , -1.8e+308       ,        
Col Avg                   , 0.00046         ,         , 0.73            ,         , 0.0086          ,         , -0.024          ,         , 0               ,        
Col Std Dev               , 3.9e-06         ,         , 4.6             ,         , 0.00051         ,         , 0.015           ,         , 0               ,        
