FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00055         ,         , 1.5             ,OVER_TOL , -0.0024         ,         , 0.025           ,         , 0               ,        
Basic_DAXPY               , 0.0031          ,         , 0.0013          ,         , -0.0072         ,         , 0.0029          ,         , 0               ,        
Basic_IF_QUAD             , 0.022           ,         , 0.02            ,         , 0.078           ,         , 0.073           ,         , 0               ,        
Basic_INIT3               , -0.00011        ,         , -0.00059        ,         , 0.00018         ,         , 0.00051         ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.0004          ,         , 0.0002          ,         , 0.00011         ,         , 0.00085         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00052        ,         , 1.1             ,OVER_TOL , 0.018           ,         , 0.034           ,         , 0               ,        
Basic_MULADDSUB           , 4.6e-05         ,         , 0.00078         ,         , 0.075           ,         , 0.077           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0003         ,         , 0.0025          ,         , 0.0018          ,         , 0.00063         ,         , 0               ,        
Basic_REDUCE3_INT         , -1.1e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00013        ,         , 0.00071         ,         , 0               ,         , -0.38           ,         , 0               ,        
Stream_ADD                , 0.0073          ,         , 0.0095          ,         , 0.0015          ,         , 0.0014          ,         , 0               ,        
Stream_COPY               , 0.0023          ,         , -0.22           ,         , 0.00031         ,         , 7.9e-05         ,         , 0               ,        
Stream_DOT                , 8.2e-05         ,         , 0.0034          ,         , 0               ,         , -0.19           ,         , 0               ,        
Stream_MUL                , 0.0069          ,         , 0.0074          ,         , 0.0029          ,         , -0.0057         ,         , 0               ,        
Stream_TRIAD              , 0.00079         ,         , 0.0011          ,         , -0.0023         ,         , -0.00055        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00052        ,         , -0.22           ,         , -0.0072         ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.022           ,         , 8.5             ,         , 0.078           ,         , 0.17            ,         , -1.8e+308       ,        
Col Avg                   , 0.0028          ,         , 0.73            ,         , 0.014           ,         , -0.013          ,         , 0               ,        
Col Std Dev               , 3.1e-05         ,         , 4.6             ,         , 0.00082         ,         , 0.015           ,         , 0               ,        
