FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.05            ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.073           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0006         ,         , -0.0019         ,         , -0.0079         ,         , -0.0023         ,        
Apps_ENERGY               , -0.00021        ,         , -0.0013         ,         , 0               ,         , 0.00077         ,        
Apps_FIR                  , 0.012           ,         , -0.077          ,         , 0               ,         , 0.048           ,        
Apps_HALOEXCHANGE         , 0.06            ,         , 0.1             ,OVER_TOL , 0               ,         , -0.014          ,        
Apps_LTIMES               , -0.0004         ,         , 0.069           ,         , 0.18            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.00065        ,         , 0.056           ,         , 0.17            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_PRESSURE             , 0.00013         ,         , 0.00093         ,         , 0               ,         , 0.0056          ,        
Apps_VOL3D                , -0.00064        ,         , 0.007           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.027           ,         , 0.033           ,         , 0.0018          ,         , 0.0024          ,        
Basic_IF_QUAD             , 0.019           ,         , 0.016           ,         , 0.19            ,OVER_TOL , 0.19            ,OVER_TOL
Basic_INIT3               , 0.00041         ,         , 0.00025         ,         , 0.0042          ,         , -0.00041        ,        
Basic_INIT_VIEW1D         , 2.4e-05         ,         , 8.7e-05         ,         , -0.00073        ,         , 0.005           ,        
Basic_INIT_VIEW1D_OFFSET  , -1.3e-05        ,         , 1.1             ,OVER_TOL , 0.0036          ,         , 0.0079          ,        
Basic_MULADDSUB           , -0.0027         ,         , -0.0022         ,         , 0.22            ,OVER_TOL , 0.22            ,OVER_TOL
Basic_NESTED_INIT         , -3.2e-05        ,         , -0.052          ,         , 0.003           ,         , 0.086           ,        
Basic_PI_ATOMIC           , 0.00016         ,         , 1.5             ,OVER_TOL , -3.3e-05        ,         , -0.048          ,        
Basic_REDUCE3_INT         , -3.6e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.21            ,OVER_TOL
Basic_TRAP_INT            , -2.5e-05        ,         , -0.00013        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 0.00045         ,         , -0.12           ,         , 0               ,         , -0.0028         ,        
Lcals_EOS                 , 0.0015          ,         , 0.0013          ,         , 0               ,         , 0.0017          ,        
Lcals_FIRST_DIFF          , 0.016           ,         , 0.019           ,         , 0               ,         , 0.00094         ,        
Lcals_FIRST_MIN           , -0.00024        ,         , 0.24            ,OVER_TOL , 0               ,         , -0.45           ,        
Lcals_FIRST_SUM           , 0.014           ,         , 0.019           ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , -5e-05          ,         , -0.0001         ,         , 0               ,         , -0.097          ,        
Lcals_HYDRO_1D            , -0.0007         ,         , 0.0015          ,         , 0               ,         , 6.1e-05         ,        
Lcals_HYDRO_2D            , 0.0015          ,         , -0.00097        ,         , 0               ,         , 0.013           ,        
Lcals_INT_PREDICT         , -0.00072        ,         , -0.002          ,         , 0               ,         , 0.00062         ,        
Lcals_PLANCKIAN           , 1.2e-05         ,         , -5.1e-05        ,         , 0               ,         , -0.0051         ,        
Lcals_TRIDIAG_ELIM        , -5.5e-05        ,         , 0.00039         ,         , 0               ,         , 0.0063          ,        
Stream_ADD                , 0.00098         ,         , 0.0004          ,         , 0.00089         ,         , 0.0011          ,        
Stream_COPY               , 0.0013          ,         , -0.3            ,         , 0.00044         ,         , 0.00035         ,        
Stream_DOT                , 0.00021         ,         , 0.017           ,         , 0               ,         , -0.23           ,        
Stream_MUL                , 0.023           ,         , 0.029           ,         , 0.0023          ,         , 0.001           ,        
Stream_TRIAD              , 0.00068         ,         , 0.00086         ,         , 0.00038         ,         , 0.00016         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0027         ,         , -0.3            ,         , -0.0079         ,         , -0.45           ,        
Col Max                   , 0.06            ,         , 8.5             ,         , 0.22            ,         , inf             ,        
Col Avg                   , 0.0051          ,         , 0.32            ,         , 0.051           ,         , inf             ,        
Col Std Dev               , 0.00015         ,         , 2               ,         , 0.0071          ,         , nan             ,        
