FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00058        ,         , 1.5             ,OVER_TOL , -0.00045        ,         , 0.028           ,         , 0               ,        
Basic_DAXPY               , 0.00064         ,         , -0.0032         ,         , -0.00046        ,         , 0.0059          ,         , 0               ,        
Basic_IF_QUAD             , 0.0065          ,         , 0.0087          ,         , 0.075           ,         , 0.069           ,         , 0               ,        
Basic_INIT3               , -0.00032        ,         , 0.0014          ,         , -0.00072        ,         , -0.0024         ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00038         ,         , 0.00019         ,         , 0.00044         ,         , -8.2e-05        ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00019        ,         , 1.1             ,OVER_TOL , 0.00068         ,         , 0.0025          ,         , 0               ,        
Basic_MULADDSUB           , -7e-05          ,         , 0.00082         ,         , 0.081           ,         , 0.058           ,         , 0               ,        
Basic_NESTED_INIT         , 0.00053         ,         , 0.0027          ,         , 0.00037         ,         , -4.2e-05        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00044        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -4e-05          ,         , 0.00053         ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , -0.0017         ,         , -0.0014         ,         , 0.0013          ,         , 0.0011          ,         , 0               ,        
Stream_COPY               , 0.0085          ,         , -0.2            ,         , 0.00019         ,         , -0.00088        ,         , 0               ,        
Stream_DOT                , -0.00021        ,         , 0.0015          ,         , 0               ,         , -0.18           ,         , 0               ,        
Stream_MUL                , 0.025           ,         , 0.029           ,         , 0.0015          ,         , 0.0012          ,         , 0               ,        
Stream_TRIAD              , 0.00054         ,         , 0.0014          ,         , 0.00087         ,         , -0.0013         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0017         ,         , -0.2            ,         , -0.00072        ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.025           ,         , 8.6             ,         , 0.081           ,         , 0.17            ,         , -1.8e+308       ,        
Col Avg                   , 0.0026          ,         , 0.74            ,         , 0.013           ,         , -0.017          ,         , 0               ,        
Col Std Dev               , 4.3e-05         ,         , 4.6             ,         , 0.00084         ,         , 0.015           ,         , 0               ,        
