FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00015        ,         , 1.5             ,OVER_TOL , 0.0022          ,         , 0.022           ,         , 0               ,        
Basic_DAXPY               , 0.0031          ,         , -0.0027         ,         , -0.011          ,         , 5e-05           ,         , 0               ,        
Basic_IF_QUAD             , 0.004           ,         , 0.0071          ,         , 0.076           ,         , 0.085           ,         , 0               ,        
Basic_INIT3               , -0.00015        ,         , 0.0014          ,         , 0.0023          ,         , 0.0029          ,         , 0               ,        
Basic_INIT_VIEW1D         , -2.7e-05        ,         , 0.00063         ,         , 0.00055         ,         , -0.00024        ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 2.5e-05         ,         , 1.1             ,OVER_TOL , 0.00056         ,         , 0.0012          ,         , 0               ,        
Basic_MULADDSUB           , -8.4e-05        ,         , 0.00079         ,         , 0.085           ,         , 0.085           ,         , 0               ,        
Basic_NESTED_INIT         , -9.8e-06        ,         , 0.0026          ,         , 0.0014          ,         , 0.00058         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00011        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.1             ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -6.6e-05        ,         , -4.7e-05        ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , 0.0077          ,         , 0.0079          ,         , -0.00019        ,         , 0.00083         ,         , 0               ,        
Stream_COPY               , 0.0041          ,         , -0.22           ,         , -3.9e-05        ,         , -2.9e-06        ,         , 0               ,        
Stream_DOT                , -0.00047        ,         , 0.0025          ,         , 0               ,         , -0.18           ,         , 0               ,        
Stream_MUL                , 0.012           ,         , 0.012           ,         , 0.0017          ,         , 0.0025          ,         , 0               ,        
Stream_TRIAD              , 0.00072         ,         , 0.0013          ,         , -0.00017        ,         , -0.00055        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00047        ,         , -0.22           ,         , -0.011          ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.012           ,         , 8.6             ,         , 0.085           ,         , 0.1             ,         , -1.8e+308       ,        
Col Avg                   , 0.002           ,         , 0.73            ,         , 0.013           ,         , -0.018          ,         , 0               ,        
Col Std Dev               , 1.2e-05         ,         , 4.6             ,         , 0.00092         ,         , 0.014           ,         , 0               ,        
