FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.12           ,         , -0.28           ,         , -0.041          ,         , -0.03           ,         , 0               ,        
Basic_DAXPY               , -0.3            ,         , 0.28            ,OVER_TOL , -0.037          ,         , -0.024          ,         , 0               ,        
Basic_IF_QUAD             , -0.092          ,         , 0.49            ,OVER_TOL , -0.015          ,         , -0.0034         ,         , 0               ,        
Basic_INIT3               , 0.35            ,OVER_TOL , 1.3             ,OVER_TOL , -0.01           ,         , 0.0012          ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.25           ,         , 0.78            ,OVER_TOL , -0.033          ,         , 0.0023          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.43           ,         , -0.54           ,         , -0.0037         ,         , -0.019          ,         , 0               ,        
Basic_MULADDSUB           , -0.53           ,         , -0.59           ,         , 0.0014          ,         , 0.021           ,         , 0               ,        
Basic_NESTED_INIT         , -0.5            ,         , -0.53           ,         , 0.014           ,         , -0.01           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.29           ,         , -0.49           ,         , 0               ,         , 0.018           ,         , 0               ,        
Basic_TRAP_INT            , -0.32           ,         , -0.014          ,         , 0               ,         , -0.0023         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.53           ,         , -0.59           ,         , -0.041          ,         , -0.03           ,         , 1.8e+308        ,        
Col Max                   , 0.35            ,         , 1.3             ,         , 0.014           ,         , 0.021           ,         , -1.8e+308       ,        
Col Avg                   , -0.25           ,         , 0.042           ,         , -0.015          ,         , -0.0047         ,         , 0               ,        
Col Std Dev               , 0.058           ,         , 0.39            ,         , 0.00035         ,         , 0.00025         ,         , 0               ,        
