FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.0003          ,         , 1.5             ,OVER_TOL , -0.00045        ,         , 0.026           ,         , 0               ,        
Basic_DAXPY               , 8.4e-05         ,         , 0.0035          ,         , 0.01            ,         , 0.013           ,         , 0               ,        
Basic_IF_QUAD             , 0.023           ,         , 0.022           ,         , 0.075           ,         , 0.083           ,         , 0               ,        
Basic_INIT3               , -9.2e-05        ,         , -0.001          ,         , 0.0015          ,         , 0.0012          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00043         ,         , 0.0002          ,         , 0.00069         ,         , 0.0024          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00043         ,         , 1.1             ,OVER_TOL , 0.0017          ,         , 0.0036          ,         , 0               ,        
Basic_MULADDSUB           , -0.00013        ,         , 0.00079         ,         , 0.068           ,         , 0.057           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0023         ,         , 0.00045         ,         , 0.0014          ,         , -4.3e-05        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0003         ,         , 8.5             ,OVER_TOL , 0               ,         , 0.19            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -2.6e-05        ,         , 0.00072         ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , -0.001          ,         , 0.00053         ,         , 0.0018          ,         , 0.0024          ,         , 0               ,        
Stream_COPY               , -0.0011         ,         , -0.26           ,         , -9e-05          ,         , 0.0012          ,         , 0               ,        
Stream_DOT                , -0.00087        ,         , 0.0094          ,         , 0               ,         , -0.21           ,         , 0               ,        
Stream_MUL                , 0.013           ,         , 0.016           ,         , 0.0022          ,         , 0.0032          ,         , 0               ,        
Stream_TRIAD              , 0.00084         ,         , 0.0013          ,         , 0.0071          ,         , 0.00076         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0023         ,         , -0.26           ,         , -0.00045        ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.023           ,         , 8.5             ,         , 0.075           ,         , 0.19            ,         , -1.8e+308       ,        
Col Avg                   , 0.0022          ,         , 0.73            ,         , 0.014           ,         , -0.015          ,         , 0               ,        
Col Std Dev               , 4.3e-05         ,         , 4.6             ,         , 0.00067         ,         , 0.016           ,         , 0               ,        
