FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00013        ,         , 1.5             ,OVER_TOL , -0.00095        ,         , 0.024           ,         , 0               ,        
Basic_DAXPY               , -0.00026        ,         , -0.0062         ,         , 0.002           ,         , 0.021           ,         , 0               ,        
Basic_IF_QUAD             , 0.0039          ,         , 0.0079          ,         , 0.072           ,         , 0.07            ,         , 0               ,        
Basic_INIT3               , -0.00031        ,         , 0.0014          ,         , -0.067          ,         , -0.051          ,         , 0               ,        
Basic_INIT_VIEW1D         , -7e-06          ,         , 0.00019         ,         , 0.0022          ,         , 0.0036          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 2.7e-05         ,         , 1.1             ,OVER_TOL , 0.005           ,         , 0.0071          ,         , 0               ,        
Basic_MULADDSUB           , -2.8e-05        ,         , 0.00082         ,         , -0.0081         ,         , 0.0047          ,         , 0               ,        
Basic_NESTED_INIT         , -2.9e-05        ,         , 0.0026          ,         , 0.00086         ,         , 0.00054         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00029        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.076           ,         , 0               ,        
Basic_TRAP_INT            , -0.00011        ,         , -9.6e-05        ,         , 0               ,         , -0.41           ,         , 0               ,        
Stream_ADD                , 0.0047          ,         , -0.00077        ,         , -3.6e-05        ,         , 0.0014          ,         , 0               ,        
Stream_COPY               , 0.0011          ,         , -0.25           ,         , 0.00024         ,         , -0.0003         ,         , 0               ,        
Stream_DOT                , -0.00033        ,         , 0.0037          ,         , 0               ,         , -0.22           ,         , 0               ,        
Stream_MUL                , 0.0069          ,         , 0.008           ,         , 0.0015          ,         , 0.0018          ,         , 0               ,        
Stream_TRIAD              , 0.0013          ,         , 0.0016          ,         , -0.0013         ,         , 6.1e-05         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00033        ,         , -0.25           ,         , -0.067          ,         , -0.41           ,         , 1.8e+308        ,        
Col Max                   , 0.0069          ,         , 8.6             ,         , 0.072           ,         , 0.076           ,         , -1.8e+308       ,        
Col Avg                   , 0.0011          ,         , 0.73            ,         , 0.00055         ,         , -0.032          ,         , 0               ,        
Col Std Dev               , 4.7e-06         ,         , 4.6             ,         , 0.00081         ,         , 0.015           ,         , 0               ,        
