FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.26           ,         , 0.31            ,OVER_TOL , -0.0072         ,         , 0.0079          ,         , 0               ,        
Basic_DAXPY               , -0.86           ,         , 0.0059          ,         , 0.08            ,         , 0.069           ,         , 0               ,        
Basic_IF_QUAD             , -0.6            ,         , -0.41           ,         , 0.078           ,         , 0.18            ,OVER_TOL , 0               ,        
Basic_INIT3               , -0.5            ,         , 3.1             ,OVER_TOL , -0.2            ,         , -0.11           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.68           ,         , -0.7            ,         , -0.11           ,         , -0.082          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.76           ,         , 0.033           ,         , -0.17           ,         , -0.029          ,         , 0               ,        
Basic_MULADDSUB           , -0.31           ,         , 1.3             ,OVER_TOL , -0.19           ,         , -0.13           ,         , 0               ,        
Basic_NESTED_INIT         , -0.74           ,         , -0.22           ,         , -0.072          ,         , -0.043          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.77           ,         , -0.77           ,         , 0               ,         , 0.087           ,         , 0               ,        
Basic_TRAP_INT            , -0.1            ,         , 2               ,OVER_TOL , 0               ,         , 0.075           ,         , 0               ,        
Stream_ADD                , -0.59           ,         , -0.71           ,         , 0.031           ,         , 0.077           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.86           ,         , -0.77           ,         , -0.2            ,         , -0.13           ,         , 1.8e+308        ,        
Col Max                   , -0.1            ,         , 3.1             ,         , 0.08            ,         , 0.18            ,         , -1.8e+308       ,        
Col Avg                   , -0.56           ,         , 0.35            ,         , -0.063          ,         , 0.0097          ,         , 0               ,        
Col Std Dev               , 0.054           ,         , 1.4             ,         , 0.011           ,         , 0.0086          ,         , 0               ,        
