FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -0.00024        ,         , 1.5             ,OVER_TOL , -0.00079        ,        
Basic_DAXPY               , 0.00061         ,         , 0.0012          ,         , -0.022          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.021           ,         , 0.076           ,        
Basic_INIT3               , -0.0023         ,         , -0.0019         ,         , 0.00034         ,        
Basic_INIT_VIEW1D         , 7.1e-05         ,         , 0.00013         ,         , 0.0011          ,        
Basic_INIT_VIEW1D_OFFSET  , -2.5e-05        ,         , 0.14            ,OVER_TOL , -0.037          ,        
Basic_MULADDSUB           , -6.2e-05        ,         , 0.0002          ,         , 0.0078          ,        
Basic_NESTED_INIT         , 0.0025          ,         , 2.5e-05         ,         , 0.0016          ,        
Basic_REDUCE3_INT         , -7.5e-05        ,         , -6.4e-05        ,         , 0.18            ,OVER_TOL
Basic_TRAP_INT            , -0.00012        ,         , -9.3e-05        ,         , -0.37           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0023         ,         , -0.0019         ,         , -0.37           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.18            ,        
Col Avg                   , 0.0019          ,         , 0.17            ,         , -0.016          ,        
Col Std Dev               , 3.2e-05         ,         , 0.2             ,         , 0.018           ,        
