FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00016         ,         , 1.5             ,OVER_TOL , 0.0022          ,         , 0.023           ,         , 0               ,        
Basic_DAXPY               , 0.0089          ,         , 0.013           ,         , -0.0058         ,         , 0.0023          ,         , 0               ,        
Basic_IF_QUAD             , 0.0073          ,         , -0.0079         ,         , 0.076           ,         , 0.06            ,         , 0               ,        
Basic_INIT3               , -0.0001         ,         , -0.0013         ,         , -0.0023         ,         , -0.0009         ,         , 0               ,        
Basic_INIT_VIEW1D         , -2.8e-05        ,         , 0.00068         ,         , 0.00015         ,         , 0.00097         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 3.4e-05         ,         , 1.1             ,OVER_TOL , 0.00022         ,         , 0.024           ,         , 0               ,        
Basic_MULADDSUB           , -0.00018        ,         , 0.00066         ,         , 0.0067          ,         , 0.0033          ,         , 0               ,        
Basic_NESTED_INIT         , 4.5e-05         ,         , 0.0026          ,         , 0.0023          ,         , 0.0016          ,         , 0               ,        
Basic_REDUCE3_INT         , -5.5e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.16            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -3.9e-05        ,         , -7.7e-06        ,         , 0               ,         , -0.39           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00018        ,         , -0.0079         ,         , -0.0058         ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.0089          ,         , 8.5             ,         , 0.076           ,         , 0.16            ,         , -1.8e+308       ,        
Col Avg                   , 0.0016          ,         , 1.1             ,         , 0.0099          ,         , -0.011          ,         , 0               ,        
Col Std Dev               , 1.1e-05         ,         , 6.4             ,         , 0.00064         ,         , 0.018           ,         , 0               ,        
