FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -0.00028        ,         , 1.5             ,OVER_TOL , -0.0024         ,        
Basic_DAXPY               , 0.00089         ,         , 0.0015          ,         , -0.011          ,        
Basic_IF_QUAD             , 0.017           ,         , 0.017           ,         , 0.078           ,        
Basic_INIT3               , 1.5e-05         ,         , 0.00065         ,         , -0.024          ,        
Basic_INIT_VIEW1D         , 0.00046         ,         , 0.0001          ,         , 0.0021          ,        
Basic_INIT_VIEW1D_OFFSET  , -2.9e-05        ,         , 0.14            ,OVER_TOL , -0.039          ,        
Basic_MULADDSUB           , 3e-05           ,         , 0.00036         ,         , -0.023          ,        
Basic_NESTED_INIT         , 0.00011         ,         , 0.0023          ,         , 0.0016          ,        
Basic_REDUCE3_INT         , -0.00039        ,         , 0.0001          ,         , 0.15            ,OVER_TOL
Basic_TRAP_INT            , 5.4e-05         ,         , 6.2e-05         ,         , -0.41           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00039        ,         , 6.2e-05         ,         , -0.41           ,        
Col Max                   , 0.017           ,         , 1.5             ,         , 0.15            ,        
Col Avg                   , 0.0018          ,         , 0.17            ,         , -0.028          ,        
Col Std Dev               , 2.7e-05         ,         , 0.2             ,         , 0.019           ,        
