FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.06            ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.061           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.00068        ,         , -0.0023         ,         , -0.012          ,         , -0.0062         ,        
Apps_ENERGY               , 0.00015         ,         , -7.2e-05        ,         , 0               ,         , -0.0013         ,        
Apps_FIR                  , 1e-05           ,         , -0.078          ,         , 0               ,         , 0.046           ,        
Apps_HALOEXCHANGE         , 0.029           ,         , 0.12            ,OVER_TOL , 0               ,         , -0.0077         ,        
Apps_LTIMES               , -0.00025        ,         , 0.07            ,         , 0.18            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.00013        ,         , 0.056           ,         , 0.17            ,OVER_TOL , 0.2             ,OVER_TOL
Apps_PRESSURE             , 0.0012          ,         , 0.0018          ,         , 0               ,         , 0.0041          ,        
Apps_VOL3D                , -0.00012        ,         , 0.0076          ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.014           ,         , 0.016           ,         , 0.0013          ,         , 0.001           ,        
Basic_IF_QUAD             , 0.019           ,         , 0.011           ,         , 0.16            ,OVER_TOL , 0.2             ,OVER_TOL
Basic_INIT3               , -2.8e-05        ,         , 0.00019         ,         , 0.0039          ,         , -0.00051        ,        
Basic_INIT_VIEW1D         , -5.6e-06        ,         , 3e-05           ,         , -0.00054        ,         , -0.003          ,        
Basic_INIT_VIEW1D_OFFSET  , -8.7e-05        ,         , 1.1             ,OVER_TOL , 0.0036          ,         , 0.0061          ,        
Basic_MULADDSUB           , -0.024          ,         , -0.023          ,         , 0.16            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_NESTED_INIT         , -2.9e-05        ,         , -0.052          ,         , 0.0046          ,         , 0.11            ,OVER_TOL
Basic_PI_ATOMIC           , 0.00026         ,         , 1.5             ,OVER_TOL , -0.045          ,         , -0.044          ,        
Basic_REDUCE3_INT         , -3.2e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.23            ,OVER_TOL
Basic_TRAP_INT            , 1.7e-05         ,         , 0.00013         ,         , 0               ,         , -0.35           ,        
Lcals_DIFF_PREDICT        , -5e-05          ,         , -0.12           ,         , 0               ,         , 0.0016          ,        
Lcals_EOS                 , 0.0014          ,         , 0.0012          ,         , 0               ,         , 0.0008          ,        
Lcals_FIRST_DIFF          , 0.017           ,         , 0.021           ,         , 0               ,         , -0.00021        ,        
Lcals_FIRST_MIN           , -6.9e-05        ,         , 0.24            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.017           ,         , 0.021           ,         , 0               ,         , 0.048           ,        
Lcals_GEN_LIN_RECUR       , -3.5e-05        ,         , -0.00032        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , -0.00071        ,         , -0.001          ,         , 0               ,         , -0.00042        ,        
Lcals_HYDRO_2D            , 0.0032          ,         , 0.0048          ,         , 0               ,         , 0.04            ,        
Lcals_INT_PREDICT         , 3.8e-05         ,         , 0.00023         ,         , 0               ,         , -0.0025         ,        
Lcals_PLANCKIAN           , 9.5e-05         ,         , 5.9e-05         ,         , 0               ,         , 0.00054         ,        
Lcals_TRIDIAG_ELIM        , -0.00044        ,         , -0.00016        ,         , 0               ,         , 0.0068          ,        
Stream_ADD                , 0.00082         ,         , 8.7e-05         ,         , 0.0017          ,         , 0.00096         ,        
Stream_COPY               , 0.0057          ,         , -0.23           ,         , 0.0003          ,         , -0.00026        ,        
Stream_DOT                , -4.5e-05        ,         , 0.015           ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.016           ,         , 0.019           ,         , 0.0021          ,         , 0.0017          ,        
Stream_TRIAD              , 0.0013          ,         , 0.0011          ,         , -0.00051        ,         , -0.00038        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.024          ,         , -0.23           ,         , -0.045          ,         , -0.44           ,        
Col Max                   , 0.029           ,         , 8.5             ,         , 0.18            ,         , inf             ,        
Col Avg                   , 0.0029          ,         , 0.32            ,         , 0.042           ,         , inf             ,        
Col Std Dev               , 7.4e-05         ,         , 2               ,         , 0.0058          ,         , nan             ,        
