FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00041         ,         , 1.5             ,OVER_TOL , 0.0018          ,         , 0.03            ,         , 0               ,        
Basic_DAXPY               , 3.8e-05         ,         , -0.0022         ,         , 0.019           ,         , 0.021           ,         , 0               ,        
Basic_IF_QUAD             , 0.017           ,         , 0.021           ,         , 0.074           ,         , 0.075           ,         , 0               ,        
Basic_INIT3               , -7.8e-05        ,         , -0.00083        ,         , 0.00088         ,         , 0.00085         ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.0004         ,         , -0.00014        ,         , 0.00038         ,         , -0.00025        ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 3.4e-05         ,         , 1.1             ,OVER_TOL , 0.023           ,         , 0.037           ,         , 0               ,        
Basic_MULADDSUB           , -0.00016        ,         , 0.00071         ,         , 0.072           ,         , 0.068           ,         , 0               ,        
Basic_NESTED_INIT         , 0.0001          ,         , 0.0027          ,         , 0.00064         ,         , 0.00056         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0014         ,         , 8.5             ,OVER_TOL , 0               ,         , 0.23            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -4.4e-05        ,         , -3.6e-05        ,         , 0               ,         , -0.38           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0014         ,         , -0.0022         ,         , 0.00038         ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.017           ,         , 8.5             ,         , 0.074           ,         , 0.23            ,         , -1.8e+308       ,        
Col Avg                   , 0.0016          ,         , 1.1             ,         , 0.024           ,         , 0.0085          ,         , 0               ,        
Col Std Dev               , 2.8e-05         ,         , 6.4             ,         , 0.00087         ,         , 0.021           ,         , 0               ,        
