FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -6.7e-05        ,         , 1.5             ,OVER_TOL , 0.00025         ,        
Basic_DAXPY               , 0.00095         ,         , 0.0015          ,         , 0.0024          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.02            ,         , 0.075           ,        
Basic_INIT3               , -0.00013        ,         , 0.0025          ,         , -0.0016         ,        
Basic_INIT_VIEW1D         , 3.1e-05         ,         , 0.00052         ,         , 0.0012          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0004          ,         , 0.14            ,OVER_TOL , -0.039          ,        
Basic_MULADDSUB           , -1.5e-05        ,         , 0.00035         ,         , 0.086           ,        
Basic_NESTED_INIT         , -0.00016        ,         , 0.002           ,         , 0.00087         ,        
Basic_REDUCE3_INT         , -0.00095        ,         , -0.00022        ,         , 0.27            ,OVER_TOL
Basic_TRAP_INT            , -8.6e-05        ,         , -1.1e-05        ,         , -0.38           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00095        ,         , -0.00022        ,         , -0.38           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.27            ,        
Col Avg                   , 0.0018          ,         , 0.17            ,         , 0.00088         ,        
Col Std Dev               , 2.9e-05         ,         , 0.2             ,         , 0.023           ,        
