Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.281355 ,   1.281116 , 1.279330 ,  0.006790 ,    0.006742 ,  0.006765 ,       Not run ,        Not run
Apps_ENERGY               , 1.349189 ,   1.351371 , 1.347812 ,  0.037756 ,     Not run ,  0.037719 ,       Not run ,        Not run
Apps_FIR                  , 1.540298 ,   1.539113 , 1.419546 ,  0.004150 ,     Not run ,  0.004341 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.035540 ,   0.029289 , 0.030336 ,  0.034607 ,     Not run ,  0.034198 ,       Not run ,        Not run
Apps_LTIMES               , 1.710360 ,   1.712302 , 1.816538 ,  0.015426 ,    0.019860 ,  0.020307 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.709452 ,   1.709822 , 1.816573 ,  0.015429 ,    0.019865 ,  0.020275 ,       Not run ,        Not run
Apps_PRESSURE             , 1.592099 ,   1.594044 , 1.592218 ,  0.046943 ,     Not run ,  0.046794 ,       Not run ,        Not run
Apps_VOL3D                , 1.634969 ,   1.635359 , 1.650004 ,  0.006385 ,     Not run ,  0.005371 ,       Not run ,        Not run
Basic_DAXPY               , 0.287226 ,   0.290622 , 0.292508 ,  0.016301 ,    0.016331 ,  0.016315 ,      0.040572 ,        Not run
Basic_IF_QUAD             , 1.887786 ,   1.876751 , 1.894756 ,  0.011746 ,    0.013907 ,  0.013879 ,      0.021793 ,        Not run
Basic_INIT3               , 0.578323 ,   0.578179 , 0.578273 ,  0.026962 ,    0.026995 ,  0.026931 ,      0.052425 ,        Not run
Basic_INIT_VIEW1D         , 1.850026 ,   1.849988 , 1.850187 ,  0.030447 ,    0.030441 ,  0.030509 ,      0.186010 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719210 ,   1.719197 , 3.611930 ,  0.030409 ,    0.030532 ,  0.030599 ,      0.182824 ,        Not run
Basic_MULADDSUB           , 0.426501 ,   0.423418 , 0.423415 ,  0.018860 ,    0.023096 ,  0.023243 ,      0.036565 ,        Not run
Basic_NESTED_INIT         , 0.967729 ,   1.022267 , 0.975572 ,  0.018197 ,    0.018312 ,  0.018320 ,      0.076026 ,        Not run
Basic_PI_ATOMIC           , 0.119422 ,   0.119429 , 0.300864 ,  0.105095 ,    0.105070 ,  0.105138 ,      0.123604 ,        Not run
Basic_REDUCE3_INT         , 0.019007 ,   0.019009 , 0.186250 ,  0.004686 ,     Not run ,  0.008507 ,      0.003756 ,        Not run
Basic_TRAP_INT            , 0.271742 ,   0.271687 , 0.271734 ,  0.002255 ,     Not run ,  0.001464 ,      0.003513 ,        Not run
Lcals_DIFF_PREDICT        , 0.810574 ,   0.810634 , 0.711525 ,  0.051361 ,     Not run ,  0.051866 ,      0.077407 ,        Not run
Lcals_EOS                 , 0.983462 ,   0.984639 , 0.984608 ,  0.021815 ,     Not run ,  0.021830 ,      0.046676 ,        Not run
Lcals_FIRST_DIFF          , 1.093276 ,   1.102374 , 1.103905 ,  0.046258 ,     Not run ,  0.046232 ,      0.146888 ,        Not run
Lcals_FIRST_MIN           , 0.080943 ,   0.075777 , 0.095706 ,  0.006215 ,     Not run ,  0.003546 ,      0.009462 ,        Not run
Lcals_FIRST_SUM           , 1.095072 ,   1.101118 , 1.101756 ,  0.046276 ,     Not run ,  0.048502 ,      0.146713 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.258268 ,   1.258566 , 1.258669 ,  0.051764 ,     Not run ,  0.046384 ,      0.096354 ,        Not run
Lcals_HYDRO_1D            , 0.864886 ,   0.865988 , 0.865906 ,  0.032561 ,     Not run ,  0.032552 ,      0.080963 ,        Not run
Lcals_HYDRO_2D            , 1.408682 ,   1.408006 , 1.419039 ,  0.022315 ,     Not run ,  0.024429 ,      0.038307 ,        Not run
Lcals_INT_PREDICT         , 1.187005 ,   1.183268 , 1.187021 ,  0.044990 ,     Not run ,  0.045015 ,      0.064081 ,        Not run
Lcals_PLANCKIAN           , 1.343333 ,   1.341442 , 1.341408 ,  0.002667 ,     Not run ,  0.002662 ,      0.005227 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.962611 ,   0.962587 , 0.962642 ,  0.043282 ,     Not run ,  0.043331 ,      0.092830 ,        Not run
Stream_ADD                , 0.662578 ,   0.666503 , 0.666645 ,  0.032475 ,    0.032503 ,  0.032522 ,      0.080855 ,        Not run
Stream_COPY               , 1.200751 ,   1.201925 , 0.793188 ,  0.041394 ,    0.041402 ,  0.041370 ,      0.132070 ,        Not run
Stream_DOT                , 3.292339 ,   3.291177 , 3.300807 ,  0.100171 ,     Not run ,  0.080287 ,      0.179906 ,        Not run
Stream_MUL                , 0.948952 ,   0.955018 , 0.954723 ,  0.041359 ,    0.041426 ,  0.041432 ,      0.131373 ,        Not run
Stream_TRIAD              , 0.666852 ,   0.668918 , 0.668280 ,  0.032486 ,    0.032397 ,  0.032490 ,      0.080831 ,        Not run
