FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00014        ,         , -0.0072         ,         , 0.0056          ,         , 0.0038          ,        
Apps_ENERGY               , 0.002           ,         , 0.00015         ,         , 0               ,         , 0.0036          ,        
Apps_FIR                  , -5.3e-05        ,         , -0.078          ,         , 0               ,         , 0.054           ,        
Apps_HALOEXCHANGE         , 0.13            ,OVER_TOL , 0.34            ,OVER_TOL , 0               ,         , -0.0085         ,        
Apps_LTIMES               , 0.0014          ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.0005          ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00055        ,         , -0.0047         ,         , 0               ,         , 0.014           ,        
Apps_VOL3D                , 0.00017         ,         , 0.008           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.024           ,         , 0.026           ,         , 0.00099         ,         , 0.0018          ,        
Basic_IF_QUAD             , -0.0049         ,         , 0.0058          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -0.0004         ,         , -0.0001         ,         , 0.0045          ,         , 0.0001          ,        
Basic_INIT_VIEW1D         , -4.8e-05        ,         , 7e-05           ,         , -0.00093        ,         , 0.0048          ,        
Basic_INIT_VIEW1D_OFFSET  , 2.2e-05         ,         , 1.1             ,OVER_TOL , 0.0027          ,         , 0.0086          ,        
Basic_MULADDSUB           , -0.0021         ,         , -0.0018         ,         , 0.17            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0086          ,         , 0.004           ,         , 0.0072          ,        
Basic_PI_ATOMIC           , -0.00033        ,         , 1.5             ,OVER_TOL , -0.00018        ,         , 0.00032         ,        
Basic_REDUCE3_INT         , -0.0012         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.71            ,OVER_TOL
Basic_TRAP_INT            , 0.00024         ,         , -8.4e-05        ,         , 0               ,         , -0.35           ,        
Lcals_DIFF_PREDICT        , 6.6e-05         ,         , -0.12           ,         , 0               ,         , 0.01            ,        
Lcals_EOS                 , 0.0014          ,         , 0.0012          ,         , 0               ,         , 0.0037          ,        
Lcals_FIRST_DIFF          , 0.017           ,         , 0.019           ,         , 0               ,         , 0.00087         ,        
Lcals_FIRST_MIN           , -0.028          ,         , 0.23            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.013           ,         , 0.013           ,         , 0               ,         , 0.049           ,        
Lcals_GEN_LIN_RECUR       , 5e-06           ,         , 6.9e-05         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00081         ,         , 0.0011          ,         , 0               ,         , 0.00028         ,        
Lcals_HYDRO_2D            , -0.00026        ,         , 0.0087          ,         , 0               ,         , 0.082           ,        
Lcals_INT_PREDICT         , 0.00058         ,         , -0.00089        ,         , 0               ,         , 0.0011          ,        
Lcals_PLANCKIAN           , -0.00036        ,         , -0.00042        ,         , 0               ,         , 0.0014          ,        
Lcals_TRIDIAG_ELIM        , 0.00037         ,         , 0.00031         ,         , 0               ,         , 0.0077          ,        
Stream_ADD                , 0.00018         ,         , -0.00013        ,         , 0.0034          ,         , 0.0023          ,        
Stream_COPY               , 0.00015         ,         , -0.3            ,         , 0.00076         ,         , 0.00019         ,        
Stream_DOT                , -0.00026        ,         , 0.0098          ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.015           ,         , 0.016           ,         , 0.0025          ,         , 0.002           ,        
Stream_TRIAD              , -0.00062        ,         , -6.3e-05        ,         , 0.0019          ,         , 7.2e-05         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.028          ,         , -0.3            ,         , -0.00093        ,         , -0.44           ,        
Col Max                   , 0.13            ,         , 8.8             ,         , 0.29            ,         , 0.71            ,        
Col Avg                   , 0.0067          ,         , 0.34            ,         , 0.062           ,         , 0.019           ,        
Col Std Dev               , 0.00064         ,         , 2.3             ,         , 0.011           ,         , 0.034           ,        
