FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00047         ,         , 1.5             ,OVER_TOL , -0.00037        ,         , 0.025           ,         , 0               ,        
Basic_DAXPY               , 0.0031          ,         , -0.00092        ,         , -0.0099         ,         , 0.018           ,         , 0               ,        
Basic_IF_QUAD             , 0.02            ,         , 0.019           ,         , 0.088           ,         , 0.097           ,         , 0               ,        
Basic_INIT3               , 2.3e-05         ,         , -0.0011         ,         , -0.0079         ,         , -0.0025         ,         , 0               ,        
Basic_INIT_VIEW1D         , -1.8e-05        ,         , 0.00063         ,         , 0.00085         ,         , 0.00033         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -1.2e-05        ,         , 1.1             ,OVER_TOL , 0.0014          ,         , 0.0046          ,         , 0               ,        
Basic_MULADDSUB           , -0.00018        ,         , 0.00066         ,         , 0.0077          ,         , 0.0088          ,         , 0               ,        
Basic_NESTED_INIT         , -9.2e-05        ,         , 0.0026          ,         , 0.00094         ,         , -6.7e-05        ,         , 0               ,        
Basic_REDUCE3_INT         , -6.4e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.18            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00083        ,         , -0.00079        ,         , 0               ,         , -0.41           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00083        ,         , -0.0011         ,         , -0.0099         ,         , -0.41           ,         , 1.8e+308        ,        
Col Max                   , 0.02            ,         , 8.5             ,         , 0.088           ,         , 0.18            ,         , -1.8e+308       ,        
Col Avg                   , 0.0022          ,         , 1.1             ,         , 0.01            ,         , -0.008          ,         , 0               ,        
Col Std Dev               , 3.5e-05         ,         , 6.4             ,         , 0.0009          ,         , 0.021           ,         , 0               ,        
