FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00019        ,         , -0.0023         ,         , -0.0087         ,         , -0.0038         ,        
Apps_ENERGY               , 0.0011          ,         , 0.00042         ,         , 0               ,         , -0.0022         ,        
Apps_FIR                  , -0.00084        ,         , -0.078          ,         , 0               ,         , 0.041           ,        
Apps_HALOEXCHANGE         , 0.016           ,         , 0.058           ,         , 0               ,         , -0.018          ,        
Apps_LTIMES               , 5.9e-05         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00074         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.0024         ,         , -0.0022         ,         , 0               ,         , 0.0065          ,        
Apps_VOL3D                , 6.9e-05         ,         , 0.0091          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.023           ,         , 0.035           ,         , 0.0019          ,         , 0.0013          ,        
Basic_IF_QUAD             , -0.0062         ,         , 0.0056          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -0.00026        ,         , 7.3e-05         ,         , -0.001          ,         , -0.00036        ,        
Basic_INIT_VIEW1D         , -0.00052        ,         , -0.00057        ,         , -0.00066        ,         , 0.0049          ,        
Basic_INIT_VIEW1D_OFFSET  , -5.3e-05        ,         , 1.1             ,OVER_TOL , 0.0037          ,         , 0.0096          ,        
Basic_MULADDSUB           , 0.0019          ,         , -0.002          ,         , 0.18            ,OVER_TOL , 0.2             ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0083          ,         , 0.0033          ,         , 0.0065          ,        
Basic_PI_ATOMIC           , -0.0003         ,         , 1.5             ,OVER_TOL , -0.00022        ,         , 0.00037         ,        
Basic_REDUCE3_INT         , 2.7e-05         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.74            ,OVER_TOL
Basic_TRAP_INT            , -0.00026        ,         , -0.00027        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 6.8e-05         ,         , -0.12           ,         , 0               ,         , 0.0053          ,        
Lcals_EOS                 , 0.0015          ,         , 0.0012          ,         , 0               ,         , 0.0031          ,        
Lcals_FIRST_DIFF          , 0.025           ,         , 0.031           ,         , 0               ,         , 0.00021         ,        
Lcals_FIRST_MIN           , -0.058          ,         , 0.19            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.017           ,         , 0.019           ,         , 0               ,         , 0.052           ,        
Lcals_GEN_LIN_RECUR       , -5.8e-05        ,         , -2.6e-05        ,         , 0               ,         , -0.099          ,        
Lcals_HYDRO_1D            , 0.00099         ,         , 0.001           ,         , 0               ,         , 0.0017          ,        
Lcals_HYDRO_2D            , -8.7e-06        ,         , 0.0086          ,         , 0               ,         , 0.085           ,        
Lcals_INT_PREDICT         , 0.00014         ,         , -0.00036        ,         , 0               ,         , 0.00052         ,        
Lcals_PLANCKIAN           , -2.1e-05        ,         , 6.3e-05         ,         , 0               ,         , -0.0062         ,        
Lcals_TRIDIAG_ELIM        , -0.0003         ,         , 0.00013         ,         , 0               ,         , 0.0042          ,        
Stream_ADD                , 0.0071          ,         , 0.012           ,         , 0.0024          ,         , 0.002           ,        
Stream_COPY               , 0.0044          ,         , -0.19           ,         , -0.00028        ,         , 0.00064         ,        
Stream_DOT                , -3.3e-06        ,         , 0.009           ,         , 0               ,         , -0.2            ,        
Stream_MUL                , 0.019           ,         , 0.021           ,         , 0.0024          ,         , 0.0035          ,        
Stream_TRIAD              , 0.0031          ,         , 0.0052          ,         , -0.0014         ,         , -0.00039        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.058          ,         , -0.19           ,         , -0.0087         ,         , -0.43           ,        
Col Max                   , 0.057           ,         , 8.8             ,         , 0.29            ,         , 0.74            ,        
Col Avg                   , 0.0032          ,         , 0.34            ,         , 0.061           ,         , 0.02            ,        
Col Std Dev               , 0.00025         ,         , 2.3             ,         , 0.011           ,         , 0.035           ,        
