FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Apps_DEL_DOT_VEC_2D       , -6.6e-05        ,         , -0.0014         ,         , -0.032          ,         , 0.023           ,         , 0               ,        
Apps_ENERGY               , -0.0023         ,         , -0.063          ,         , 0               ,         , 0.01            ,         , 0               ,        
Apps_FIR                  , -0.0006         ,         , -0.082          ,         , 0               ,         , 0.13            ,OVER_TOL , 0               ,        
Apps_HALOEXCHANGE         , -0.14           ,         , 0.0092          ,         , 0               ,         , -0.0014         ,         , -0.9            ,        
Apps_LTIMES               , 0.00077         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL , 0               ,        
Apps_LTIMES_NOVIEW        , -0.00018        ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_PRESSURE             , -0.073          ,         , -0.072          ,         , 0               ,         , 0.053           ,         , 0               ,        
Apps_VOL3D                , 0.0006          ,         , 0.0059          ,         , 0               ,         , -0.16           ,         , 0               ,        
Basic_ATOMIC_PI           , -0.0015         ,         , 1.5             ,OVER_TOL , -0.0014         ,         , 0.014           ,         , 0               ,        
Basic_DAXPY               , 0.00014         ,         , -0.0062         ,         , -0.012          ,         , -0.00034        ,         , 0               ,        
Basic_IF_QUAD             , 0.0031          ,         , 0.0043          ,         , 0.08            ,         , 0.073           ,         , 0               ,        
Basic_INIT3               , 0.0013          ,         , 0.003           ,         , -0.0036         ,         , -0.00079        ,         , 0               ,        
Basic_INIT_VIEW1D         , -9.3e-05        ,         , 0.00021         ,         , 0.00097         ,         , 0.0024          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 2.6e-05         ,         , 1.1             ,OVER_TOL , 0.0026          ,         , 0.0049          ,         , 0               ,        
Basic_MULADDSUB           , -0.00032        ,         , 0.00043         ,         , 0.078           ,         , 0.079           ,         , 0               ,        
Basic_NESTED_INIT         , 0.00076         ,         , 0.00078         ,         , 0.0002          ,         , -0.00068        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00075        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.11            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00013        ,         , -0.00012        ,         , 0               ,         , -0.41           ,         , 0               ,        
Lcals_DIFF_PREDICT        , 3.1e-06         ,         , -0.15           ,         , 0               ,         , 0.0006          ,         , 0               ,        
Lcals_EOS                 , 0.00023         ,         , 0.00098         ,         , 0               ,         , 0.0018          ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0015          ,         , 0.0044          ,         , 0               ,         , 0.0081          ,         , 0               ,        
Lcals_FIRST_MIN           , 0.17            ,OVER_TOL , 0.25            ,OVER_TOL , 0               ,         , -0.41           ,         , 0               ,        
Lcals_FIRST_SUM           , -0.00032        ,         , 0.0043          ,         , 0               ,         , -0.0084         ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.00043        ,         , 0.00036         ,         , 0               ,         , -0.0047         ,         , 0               ,        
Lcals_HYDRO_1D            , 0.038           ,         , 0.0027          ,         , 0               ,         , -0.0069         ,         , 0               ,        
Lcals_HYDRO_2D            , 0.00024         ,         , 0.0091          ,         , 0               ,         , 0.087           ,         , 0               ,        
Lcals_INT_PREDICT         , 0.0075          ,         , 0.0081          ,         , 0               ,         , 0.024           ,         , 0               ,        
Lcals_PLANCKIAN           , -0.0001         ,         , -0.00015        ,         , 0               ,         , -0.025          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.00073        ,         , -0.0002         ,         , 0               ,         , 0.034           ,         , 0               ,        
Stream_ADD                , 0.0034          ,         , 0.0032          ,         , 0.00022         ,         , 0.0019          ,         , 0               ,        
Stream_COPY               , 0.0023          ,         , -0.22           ,         , 0.00053         ,         , 0.0012          ,         , 0               ,        
Stream_DOT                , 0.00029         ,         , 0.0025          ,         , 0               ,         , -0.19           ,         , 0               ,        
Stream_MUL                , 0.019           ,         , 0.022           ,         , 0.0028          ,         , 0.0032          ,         , 0               ,        
Stream_TRIAD              , -0.0018         ,         , -0.0019         ,         , -0.0052         ,         , -0.00038        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.14           ,         , -0.22           ,         , -0.032          ,         , -0.41           ,         , -0.9            ,        
Col Max                   , 0.17            ,         , 8.8             ,         , 0.29            ,         , 0.32            ,         , -0.9            ,        
Col Avg                   , 0.00091         ,         , 0.33            ,         , 0.046           ,         , 0.0017          ,         , -0.9            ,        
Col Std Dev               , 0.0016          ,         , 2.3             ,         , 0.0098          ,         , 0.019           ,         , 0               ,        
