FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.22           ,         , 1.5             ,OVER_TOL , 0.026           ,         , -0.021          ,         , 0               ,        
Basic_DAXPY               , -0.21           ,         , 0.33            ,OVER_TOL , -0.033          ,         , -0.016          ,         , 0               ,        
Basic_IF_QUAD             , -0.77           ,         , -0.5            ,         , -0.027          ,         , 0.023           ,         , 0               ,        
Basic_INIT3               , -0.8            ,         , 0.13            ,OVER_TOL , -0.02           ,         , 0.029           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.71           ,         , -0.0089         ,         , 0.049           ,         , -0.0016         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.79           ,         , 0.026           ,         , -0.047          ,         , -0.047          ,         , 0               ,        
Basic_MULADDSUB           , -0.82           ,         , -0.85           ,         , -0.029          ,         , 0.012           ,         , 0               ,        
Basic_NESTED_INIT         , -0.77           ,         , -0.68           ,         , 0.011           ,         , 0.047           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.59           ,         , -0.64           ,         , 0               ,         , -0.017          ,         , 0               ,        
Basic_TRAP_INT            , -0.58           ,         , -0.59           ,         , 0               ,         , 0.055           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.82           ,         , -0.85           ,         , -0.047          ,         , -0.047          ,         , 1.8e+308        ,        
Col Max                   , -0.21           ,         , 1.5             ,         , 0.049           ,         , 0.055           ,         , -1.8e+308       ,        
Col Avg                   , -0.63           ,         , -0.13           ,         , -0.0088         ,         , 0.0064          ,         , 0               ,        
Col Std Dev               , 0.048           ,         , 0.44            ,         , 0.00099         ,         , 0.00095         ,         , 0               ,        
