Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            ,    1.000 ,    Not run ,    0.937 ,   Not run ,     Not run ,    85.223 ,        26.814 ,        Not run
Algorithm_SORTPAIRS       ,    1.000 ,    Not run ,    0.934 ,   Not run ,     Not run ,    87.292 ,           inf ,        Not run
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      1.000 ,    1.003 ,   187.351 ,     187.156 ,   188.070 ,        21.717 ,        Not run
Apps_ENERGY               ,    1.000 ,      1.000 ,    0.998 ,    35.664 ,     Not run ,    35.622 ,        16.435 ,        Not run
Apps_FIR                  ,    1.000 ,      1.000 ,    1.084 ,   370.552 ,     Not run ,   353.218 ,       116.819 ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      0.944 ,    0.895 ,     0.960 ,     Not run ,     0.969 ,         0.085 ,        Not run
Apps_LTIMES               ,    1.000 ,      1.000 ,    0.941 ,   110.675 ,      85.966 ,    84.110 ,        73.114 ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      1.002 ,    0.944 ,   129.244 ,     100.481 ,    98.606 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.000 ,    1.000 ,    33.695 ,     Not run ,    33.687 ,        13.339 ,        Not run
Apps_VOL3D                ,    1.000 ,      1.000 ,    0.992 ,   274.605 ,     Not run ,   305.518 ,       119.401 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.972 ,    0.965 ,    17.459 ,      17.433 ,    17.444 ,         7.029 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.004 ,    0.996 ,   157.931 ,     133.273 ,   135.529 ,        85.406 ,        Not run
Basic_INIT3               ,    1.000 ,      1.000 ,    1.000 ,    21.839 ,      21.875 ,    21.851 ,        11.151 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.000 ,    1.000 ,    62.340 ,      62.368 ,    62.262 ,        10.212 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      0.999 ,    0.476 ,    56.389 ,      56.178 ,    56.054 ,         9.220 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.002 ,    1.002 ,    22.829 ,      19.253 ,    19.610 ,        11.553 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      0.946 ,    0.991 ,    55.260 ,      54.897 ,    54.920 ,        12.792 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      1.000 ,    0.397 ,     1.123 ,       1.126 ,     1.135 ,         0.961 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.000 ,    0.102 ,     3.908 ,     Not run ,     2.496 ,         4.967 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    1.000 ,   115.693 ,     Not run ,   184.774 ,        75.479 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.001 ,    1.108 ,    15.706 ,     Not run ,    15.787 ,        11.614 ,        Not run
Lcals_EOS                 ,    1.000 ,      0.999 ,    0.999 ,    45.001 ,     Not run ,    44.966 ,        20.956 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      0.987 ,    0.983 ,    24.029 ,     Not run ,    24.040 ,         7.632 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.000 ,    0.789 ,    12.049 ,     Not run ,    21.810 ,         7.847 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      0.987 ,    0.983 ,    24.166 ,     Not run ,    23.026 ,         7.692 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      0.999 ,    0.999 ,    24.535 ,     Not run ,    27.416 ,        13.021 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.001 ,    1.000 ,    26.333 ,     Not run ,    26.343 ,        10.494 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.001 ,    0.992 ,    63.142 ,     Not run ,    58.107 ,        36.816 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.000 ,    1.000 ,    26.149 ,     Not run ,    26.152 ,        18.403 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      0.999 ,    1.000 ,   503.639 ,     Not run ,   504.804 ,       254.383 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.001 ,    1.000 ,    22.330 ,     Not run ,    22.183 ,        10.280 ,        Not run
Stream_ADD                ,    1.000 ,      0.999 ,    1.000 ,    20.416 ,      20.408 ,    20.391 ,         8.184 ,        Not run
Stream_COPY               ,    1.000 ,      1.000 ,    1.397 ,    28.541 ,      28.545 ,    28.552 ,         9.012 ,        Not run
Stream_DOT                ,    1.000 ,      1.000 ,    0.991 ,    31.910 ,     Not run ,    41.560 ,        18.070 ,        Not run
Stream_MUL                ,    1.000 ,      0.992 ,    0.990 ,    22.804 ,      22.762 ,    22.778 ,         7.217 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.999 ,    0.997 ,    20.241 ,      20.234 ,    20.249 ,         8.100 ,        Not run
