FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00027        ,         , -0.00099        ,         , -0.0053         ,         , -0.0072         ,        
Apps_ENERGY               , 0.0018          ,         , 0.0039          ,         , 0               ,         , 0.0023          ,        
Apps_FIR                  , -0.00043        ,         , -0.078          ,         , 0               ,         , 0.048           ,        
Apps_HALOEXCHANGE         , -0.23           ,         , -0.18           ,         , 0               ,         , -0.039          ,        
Apps_LTIMES               , 0.0011          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00021         ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.0013         ,         , -0.0014         ,         , 0               ,         , 0.00092         ,        
Apps_VOL3D                , 0.00018         ,         , 0.0091          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.012           ,         , 0.016           ,         , 0.0013          ,         , 0.0016          ,        
Basic_IF_QUAD             , -0.0046         ,         , 0.003           ,         , 0.17            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_INIT3               , -7.9e-05        ,         , 0.00019         ,         , 0.0074          ,         , -0.00026        ,        
Basic_INIT_VIEW1D         , -6.8e-05        ,         , 4.1e-05         ,         , -0.00077        ,         , 0.0044          ,        
Basic_INIT_VIEW1D_OFFSET  , 6.1e-06         ,         , 1.1             ,OVER_TOL , 0.0035          ,         , 0.0086          ,        
Basic_MULADDSUB           , 0.0014          ,         , -0.0027         ,         , 0.17            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0082          ,         , 0.0052          ,         , 0.0044          ,        
Basic_PI_ATOMIC           , 5.4e-05         ,         , 1.5             ,OVER_TOL , -0.00028        ,         , 0.00028         ,        
Basic_REDUCE3_INT         , -0.00028        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.82            ,OVER_TOL
Basic_TRAP_INT            , -5.5e-05        ,         , 1.4e-05         ,         , 0               ,         , -0.35           ,        
Lcals_DIFF_PREDICT        , -0.00047        ,         , -0.13           ,         , 0               ,         , 0.0043          ,        
Lcals_EOS                 , 0.0013          ,         , 0.0012          ,         , 0               ,         , -0.0014         ,        
Lcals_FIRST_DIFF          , 0.0052          ,         , 0.0069          ,         , 0               ,         , 0.00039         ,        
Lcals_FIRST_MIN           , 0.024           ,         , 0.24            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.0045          ,         , 0.0037          ,         , 0               ,         , 0.053           ,        
Lcals_GEN_LIN_RECUR       , -0.0062         ,         , -0.0062         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0012          ,         , 0.0014          ,         , 0               ,         , -0.0022         ,        
Lcals_HYDRO_2D            , -0.00065        ,         , 0.0079          ,         , 0               ,         , 0.094           ,        
Lcals_INT_PREDICT         , -0.0019         ,         , 0.00014         ,         , 0               ,         , -0.0013         ,        
Lcals_PLANCKIAN           , -0.0011         ,         , -0.0012         ,         , 0               ,         , -0.009          ,        
Lcals_TRIDIAG_ELIM        , -6.2e-05        ,         , -9.1e-05        ,         , 0               ,         , 0.0042          ,        
Stream_ADD                , 0.00067         ,         , 0.00035         ,         , 0.0013          ,         , 0.0026          ,        
Stream_COPY               , 0.00086         ,         , -0.31           ,         , 0.00019         ,         , 0.00027         ,        
Stream_DOT                , -0.0002         ,         , 0.0099          ,         , 0               ,         , -0.19           ,        
Stream_MUL                , 0.0064          ,         , 0.0061          ,         , 0.002           ,         , 0.003           ,        
Stream_TRIAD              , -0.00033        ,         , 3.1e-05         ,         , 0.00049         ,         , 0.00075         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.23           ,         , -0.31           ,         , -0.0053         ,         , -0.43           ,        
Col Max                   , 0.056           ,         , 8.8             ,         , 0.29            ,         , 0.82            ,        
Col Avg                   , -0.0037         ,         , 0.33            ,         , 0.062           ,         , 0.022           ,        
Col Std Dev               , 0.0016          ,         , 2.3             ,         , 0.011           ,         , 0.039           ,        
