FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -0.017          ,         , 1.5             ,OVER_TOL , -0.00023        ,        
Basic_DAXPY               , 0.0012          ,         , 0.0014          ,         , -0.013          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.018           ,         , 0.079           ,        
Basic_INIT3               , -0.0019         ,         , -0.0023         ,         , 0.0019          ,        
Basic_INIT_VIEW1D         , 0.00046         ,         , 6e-05           ,         , 0.00083         ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0011         ,         , 0.14            ,OVER_TOL , -0.064          ,        
Basic_MULADDSUB           , -1.4e-05        ,         , 0.00026         ,         , 0.032           ,        
Basic_NESTED_INIT         , 0.00017         ,         , 9.8e-05         ,         , 0.001           ,        
Basic_REDUCE3_INT         , 1.2e-05         ,         , 1.7e-05         ,         , 0.24            ,OVER_TOL
Basic_TRAP_INT            , -0.00013        ,         , -0.00014        ,         , -0.39           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.017          ,         , -0.0023         ,         , -0.39           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.24            ,        
Col Avg                   , 1.6e-05         ,         , 0.16            ,         , -0.011          ,        
Col Std Dev               , 6e-05           ,         , 0.19            ,         , 0.022           ,        
