FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.18           ,         , -0.21           ,         , -0.071          ,         , -0.073          ,         , 0               ,        
Basic_DAXPY               , -0.21           ,         , 0.51            ,OVER_TOL , 0.023           ,         , 0.023           ,         , 0               ,        
Basic_IF_QUAD             , -0.32           ,         , 0.041           ,         , -0.032          ,         , -0.0074         ,         , 0               ,        
Basic_INIT3               , -0.35           ,         , -0.25           ,         , 0.14            ,OVER_TOL , 0.024           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.32           ,         , 0.63            ,OVER_TOL , -0.0093         ,         , -0.0085         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.43           ,         , 0.1             ,OVER_TOL , -0.061          ,         , -0.025          ,         , 0               ,        
Basic_MULADDSUB           , -0.56           ,         , -0.6            ,         , -0.0012         ,         , -0.00078        ,         , 0               ,        
Basic_NESTED_INIT         , -0.44           ,         , -0.39           ,         , -0.027          ,         , -0.065          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.28           ,         , -0.45           ,         , 0               ,         , 0.0013          ,         , 0               ,        
Basic_TRAP_INT            , -0.27           ,         , -0.075          ,         , 0               ,         , 0.052           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.56           ,         , -0.6            ,         , -0.071          ,         , -0.073          ,         , 1.8e+308        ,        
Col Max                   , -0.18           ,         , 0.63            ,         , 0.14            ,         , 0.052           ,         , -1.8e+308       ,        
Col Avg                   , -0.33           ,         , -0.069          ,         , -0.0048         ,         , -0.0079         ,         , 0               ,        
Col Std Dev               , 0.012           ,         , 0.15            ,         , 0.0038          ,         , 0.0013          ,         , 0               ,        
