FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.001          ,         , 1.5             ,OVER_TOL , -0.00017        ,         , 0.03            ,         , 0               ,        
Basic_DAXPY               , 0.00038         ,         , -0.00048        ,         , -0.011          ,         , 0.014           ,         , 0               ,        
Basic_IF_QUAD             , 0.019           ,         , 0.021           ,         , 0.066           ,         , 0.066           ,         , 0               ,        
Basic_INIT3               , 0.00028         ,         , 0.00085         ,         , -0.007          ,         , 0.0083          ,         , 0               ,        
Basic_INIT_VIEW1D         , -4.2e-05        ,         , 0.0006          ,         , 0.00071         ,         , 0.0012          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -5e-05          ,         , 1.1             ,OVER_TOL , 0.0008          ,         , 0.0017          ,         , 0               ,        
Basic_MULADDSUB           , -0.00022        ,         , 0.00056         ,         , 0.028           ,         , 0.019           ,         , 0               ,        
Basic_NESTED_INIT         , 8.2e-06         ,         , 0.0028          ,         , 0.0014          ,         , 0.00096         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00015        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.2             ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00012        ,         , -9.4e-05        ,         , 0               ,         , -0.38           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.001          ,         , -0.00048        ,         , -0.011          ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.019           ,         , 8.5             ,         , 0.066           ,         , 0.2             ,         , -1.8e+308       ,        
Col Avg                   , 0.0018          ,         , 1.1             ,         , 0.0099          ,         , -0.0038         ,         , 0               ,        
Col Std Dev               , 3.1e-05         ,         , 6.4             ,         , 0.00057         ,         , 0.019           ,         , 0               ,        
