FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , 0.00022         ,         , 1.5             ,OVER_TOL , -0.00015        ,        
Basic_DAXPY               , 0.0009          ,         , 0.0015          ,         , -0.022          ,        
Basic_IF_QUAD             , 0.019           ,         , 0.02            ,         , 0.071           ,        
Basic_INIT3               , -0.0022         ,         , -0.0019         ,         , -0.015          ,        
Basic_INIT_VIEW1D         , 1.7e-05         ,         , 9.2e-05         ,         , 0.00092         ,        
Basic_INIT_VIEW1D_OFFSET  , 2.7e-05         ,         , 0.14            ,OVER_TOL , -0.037          ,        
Basic_MULADDSUB           , 3.2e-05         ,         , 0.00021         ,         , 0.0021          ,        
Basic_NESTED_INIT         , 0.0025          ,         , 0.0001          ,         , 0.0016          ,        
Basic_REDUCE3_INT         , -0.00013        ,         , 0.00028         ,         , 0.17            ,OVER_TOL
Basic_TRAP_INT            , -2.8e-05        ,         , -1.2e-05        ,         , -0.38           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0022         ,         , -0.0019         ,         , -0.38           ,        
Col Max                   , 0.019           ,         , 1.5             ,         , 0.17            ,        
Col Avg                   , 0.002           ,         , 0.17            ,         , -0.02           ,        
Col Std Dev               , 3.3e-05         ,         , 0.2             ,         , 0.017           ,        
