FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.18           ,         , 1.7             ,OVER_TOL , -0.17           ,         , -0.24           ,         , 0               ,        
Basic_DAXPY               , -0.59           ,         , -0.1            ,         , -0.03           ,         , -0.023          ,         , 0               ,        
Basic_IF_QUAD             , -0.1            ,         , 0.19            ,OVER_TOL , -0.036          ,         , 0.012           ,         , 0               ,        
Basic_INIT3               , -0.69           ,         , 0.51            ,OVER_TOL , 0.0018          ,         , 0.033           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.65           ,         , 0.029           ,         , 0.0029          ,         , 0.0059          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.79           ,         , 0.11            ,OVER_TOL , -0.02           ,         , -0.033          ,         , 0               ,        
Basic_MULADDSUB           , -0.75           ,         , -0.69           ,         , -0.035          ,         , 0.014           ,         , 0               ,        
Basic_NESTED_INIT         , -0.76           ,         , -0.68           ,         , -0.009          ,         , -0.012          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.65           ,         , -0.68           ,         , 0               ,         , 0.0085          ,         , 0               ,        
Basic_TRAP_INT            , 0.12            ,OVER_TOL , 0.37            ,OVER_TOL , 0               ,         , 0.043           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.79           ,         , -0.69           ,         , -0.17           ,         , -0.24           ,         , 1.8e+308        ,        
Col Max                   , 0.12            ,         , 1.7             ,         , 0.0029          ,         , 0.043           ,         , -1.8e+308       ,        
Col Avg                   , -0.5            ,         , 0.077           ,         , -0.037          ,         , -0.019          ,         , 0               ,        
Col Std Dev               , 0.095           ,         , 0.48            ,         , 0.0028          ,         , 0.0059          ,         , 0               ,        
