FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -0.00036        ,         , 1.5             ,OVER_TOL , -0.0056         ,        
Basic_DAXPY               , 0.00082         ,         , 0.0015          ,         , -0.028          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.017           ,         , 0.076           ,        
Basic_INIT3               , -4.8e-05        ,         , 0.00029         ,         , -0.016          ,        
Basic_INIT_VIEW1D         , 3.7e-05         ,         , 0.00058         ,         , -0.00039        ,        
Basic_INIT_VIEW1D_OFFSET  , -1.1e-05        ,         , 0.14            ,OVER_TOL , -0.037          ,        
Basic_MULADDSUB           , 4.6e-05         ,         , 0.00024         ,         , 0.01            ,        
Basic_NESTED_INIT         , 5.9e-05         ,         , 1.8e-05         ,         , 0.0012          ,        
Basic_REDUCE3_INT         , -0.00019        ,         , -0.00014        ,         , 0.17            ,OVER_TOL
Basic_TRAP_INT            , 0.00083         ,         , -3.6e-05        ,         , -0.37           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00036        ,         , -0.00014        ,         , -0.37           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.17            ,        
Col Avg                   , 0.0019          ,         , 0.17            ,         , -0.02           ,        
Col Std Dev               , 2.9e-05         ,         , 0.2             ,         , 0.017           ,        
