FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00027         ,         , 1.5             ,OVER_TOL , -0.002          ,         , 0.027           ,         , 0               ,        
Basic_DAXPY               , -1.6e-06        ,         , 0.0013          ,         , -0.019          ,         , -0.01           ,         , 0               ,        
Basic_IF_QUAD             , 0.018           ,         , 0.021           ,         , 0.08            ,         , 0.08            ,         , 0               ,        
Basic_INIT3               , 2.4e-05         ,         , -0.0008         ,         , -0.007          ,         , 0.0087          ,         , 0               ,        
Basic_INIT_VIEW1D         , -3.9e-05        ,         , 0.00018         ,         , 0.0012          ,         , -0.032          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -2.3e-05        ,         , 1.1             ,OVER_TOL , 0.028           ,         , 0.029           ,         , 0               ,        
Basic_MULADDSUB           , -0.00011        ,         , 0.0006          ,         , 0.0052          ,         , 0.013           ,         , 0               ,        
Basic_NESTED_INIT         , 4.1e-05         ,         , 0.0027          ,         , 0.0011          ,         , 0.00067         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00023        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -6.1e-05        ,         , -7.4e-05        ,         , 0               ,         , -0.37           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00023        ,         , -0.0008         ,         , -0.019          ,         , -0.37           ,         , 1.8e+308        ,        
Col Max                   , 0.018           ,         , 8.5             ,         , 0.08            ,         , 0.17            ,         , -1.8e+308       ,        
Col Avg                   , 0.0018          ,         , 1.1             ,         , 0.011           ,         , -0.0089         ,         , 0               ,        
Col Std Dev               , 3e-05           ,         , 6.4             ,         , 0.00083         ,         , 0.017           ,         , 0               ,        
