FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.059           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.062           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.00023        ,         , -0.0032         ,         , -0.0075         ,         , 0.00043         ,        
Apps_ENERGY               , -8.4e-05        ,         , 0.00015         ,         , 0               ,         , -9.2e-05        ,        
Apps_FIR                  , -0.00016        ,         , -0.078          ,         , 0               ,         , 0.055           ,        
Apps_HALOEXCHANGE         , 0.029           ,         , 0.083           ,         , 0               ,         , -0.0036         ,        
Apps_LTIMES               , 0.00033         ,         , 0.07            ,         , 0.18            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.0012         ,         , 0.054           ,         , 0.17            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_PRESSURE             , -0.00018        ,         , 0.00063         ,         , 0               ,         , 0.0027          ,        
Apps_VOL3D                , 0.00038         ,         , 0.008           ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.0099          ,         , 0.012           ,         , 0.0016          ,         , 0.0018          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.0091          ,         , 0.18            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_INIT3               , 0.00036         ,         , -0.00034        ,         , -0.0066         ,         , -0.0021         ,        
Basic_INIT_VIEW1D         , 0.00065         ,         , 5.2e-05         ,         , -0.00025        ,         , 0.0031          ,        
Basic_INIT_VIEW1D_OFFSET  , -1.1e-05        ,         , 1.1             ,OVER_TOL , 0.0034          ,         , 0.0053          ,        
Basic_MULADDSUB           , -0.0026         ,         , -0.0019         ,         , 0.18            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , -0.00015        ,         , -0.053          ,         , 0.0033          ,         , 0.069           ,        
Basic_PI_ATOMIC           , 6.5e-05         ,         , 1.5             ,OVER_TOL , -0.016          ,         , -0.015          ,        
Basic_REDUCE3_INT         , 0.00014         ,         , 8.5             ,OVER_TOL , 0               ,         , 0.16            ,OVER_TOL
Basic_TRAP_INT            , 0.00034         ,         , -9.8e-05        ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , -0.00034        ,         , -0.12           ,         , 0               ,         , -0.025          ,        
Lcals_EOS                 , 0.0014          ,         , 0.0021          ,         , 0               ,         , 0.0006          ,        
Lcals_FIRST_DIFF          , 0.0086          ,         , 0.012           ,         , 0               ,         , -0.00029        ,        
Lcals_FIRST_MIN           , -0.0043         ,         , 0.24            ,OVER_TOL , 0               ,         , -0.45           ,        
Lcals_FIRST_SUM           , 0.0046          ,         , 0.0063          ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , 0.00029         ,         , -0.00042        ,         , 0               ,         , -0.11           ,        
Lcals_HYDRO_1D            , -0.00089        ,         , 0.00052         ,         , 0               ,         , -0.00046        ,        
Lcals_HYDRO_2D            , -0.00049        ,         , 0.00033         ,         , 0               ,         , 0.027           ,        
Lcals_INT_PREDICT         , -0.00074        ,         , 0.00093         ,         , 0               ,         , 0.00025         ,        
Lcals_PLANCKIAN           , 8.9e-05         ,         , 0.00039         ,         , 0               ,         , -0.00033        ,        
Lcals_TRIDIAG_ELIM        , -0.00019        ,         , -2.4e-06        ,         , 0               ,         , 0.0014          ,        
Stream_ADD                , -0.00025        ,         , -0.00075        ,         , 0.00086         ,         , 0.0011          ,        
Stream_COPY               , 0.0051          ,         , -0.2            ,         , 0.00063         ,         , -0.00017        ,        
Stream_DOT                , -0.0002         ,         , 0.015           ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.011           ,         , 0.012           ,         , 0.0013          ,         , 0.00033         ,        
Stream_TRIAD              , -0.00055        ,         , 0.00013         ,         , 3.6e-05         ,         , 0.00024         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0043         ,         , -0.2            ,         , -0.016          ,         , -0.45           ,        
Col Max                   , 0.029           ,         , 8.5             ,         , 0.18            ,         , inf             ,        
Col Avg                   , 0.0023          ,         , 0.32            ,         , 0.046           ,         , inf             ,        
Col Std Dev               , 4e-05           ,         , 2               ,         , 0.0062          ,         , nan             ,        
