FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.18           ,         , 1.3             ,OVER_TOL , -0.073          ,         , -0.023          ,         , 0               ,        
Basic_DAXPY               , -0.42           ,         , 0.98            ,OVER_TOL , -0.052          ,         , -0.022          ,         , 0               ,        
Basic_IF_QUAD             , -0.64           ,         , -0.013          ,         , -0.0021         ,         , 0.049           ,         , 0               ,        
Basic_INIT3               , -0.59           ,         , 0.49            ,OVER_TOL , -0.032          ,         , 0.033           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.85           ,         , -0.86           ,         , -0.029          ,         , 0.033           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.041          ,         , 2.5             ,OVER_TOL , -0.019          ,         , -0.042          ,         , 0               ,        
Basic_MULADDSUB           , -0.68           ,         , -0.66           ,         , -0.044          ,         , 0.0021          ,         , 0               ,        
Basic_NESTED_INIT         , -0.75           ,         , -0.73           ,         , -0.022          ,         , -0.043          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.7            ,         , -0.79           ,         , 0               ,         , 0.0011          ,         , 0               ,        
Basic_TRAP_INT            , -0.36           ,         , -0.11           ,         , 0               ,         , 0.0065          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.85           ,         , -0.86           ,         , -0.073          ,         , -0.043          ,         , 1.8e+308        ,        
Col Max                   , -0.041          ,         , 2.5             ,         , -0.0021         ,         , 0.049           ,         , -1.8e+308       ,        
Col Avg                   , -0.52           ,         , 0.22            ,         , -0.034          ,         , -0.00054        ,         , 0               ,        
Col Std Dev               , 0.062           ,         , 1.1             ,         , 0.00042         ,         , 0.00093         ,         , 0               ,        
