FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -0.00043        ,         , 1.5             ,OVER_TOL , -0.0031         ,        
Basic_DAXPY               , 8.8e-05         ,         , 0.0016          ,         , -0.03           ,        
Basic_IF_QUAD             , 0.015           ,         , 0.016           ,         , 0.078           ,        
Basic_INIT3               , 0.00052         ,         , 0.0013          ,         , 0.0022          ,        
Basic_INIT_VIEW1D         , -0.00058        ,         , 9.6e-05         ,         , 0.00031         ,        
Basic_INIT_VIEW1D_OFFSET  , 1.8e-05         ,         , 0.14            ,OVER_TOL , -0.041          ,        
Basic_MULADDSUB           , -0.0022         ,         , -0.0017         ,         , 0.042           ,        
Basic_NESTED_INIT         , 0.00019         ,         , 0.00015         ,         , 0.0018          ,        
Basic_REDUCE3_INT         , -0.00013        ,         , 0.00016         ,         , 0.2             ,OVER_TOL
Basic_TRAP_INT            , 0.00085         ,         , 7.8e-05         ,         , -0.39           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0022         ,         , -0.0017         ,         , -0.39           ,        
Col Max                   , 0.015           ,         , 1.5             ,         , 0.2             ,        
Col Avg                   , 0.0013          ,         , 0.17            ,         , -0.014          ,        
Col Std Dev               , 2.1e-05         ,         , 0.2             ,         , 0.02            ,        
