FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00018        ,         , -0.0061         ,         , 0.0051          ,         , -0.0034         ,        
Apps_ENERGY               , 0.00061         ,         , -0.00021        ,         , 0               ,         , -0.002          ,        
Apps_FIR                  , -0.00068        ,         , -0.079          ,         , 0               ,         , 0.055           ,        
Apps_HALOEXCHANGE         , 0.026           ,         , 0.088           ,         , 0               ,         , -0.013          ,        
Apps_LTIMES               , 0.00037         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00017         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.0015         ,         , -0.0017         ,         , 0               ,         , 0.0059          ,        
Apps_VOL3D                , -5.7e-07        ,         , 0.0077          ,         , 0               ,         , -0.14           ,        
Basic_DAXPY               , 0.01            ,         , 0.02            ,         , 0.0013          ,         , 0.0024          ,        
Basic_IF_QUAD             , -0.0047         ,         , 0.0047          ,         , 0.19            ,OVER_TOL , 0.19            ,OVER_TOL
Basic_INIT3               , -8.2e-05        ,         , -1.5e-05        ,         , -0.0014         ,         , 0.00037         ,        
Basic_INIT_VIEW1D         , -2.2e-06        ,         , 7.3e-05         ,         , -0.00035        ,         , 0.0047          ,        
Basic_INIT_VIEW1D_OFFSET  , -1.8e-05        ,         , 1.1             ,OVER_TOL , 0.0036          ,         , 0.0089          ,        
Basic_MULADDSUB           , -0.0016         ,         , -0.0014         ,         , 0.23            ,OVER_TOL , 0.24            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0086          ,         , 0.0027          ,         , 0.0062          ,        
Basic_PI_ATOMIC           , -0.00017        ,         , 1.5             ,OVER_TOL , -0.051          ,         , -0.095          ,        
Basic_REDUCE3_INT         , 0.00022         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.67            ,OVER_TOL
Basic_TRAP_INT            , -8.6e-05        ,         , -2.3e-05        ,         , 0               ,         , -0.38           ,        
Lcals_DIFF_PREDICT        , -4.6e-05        ,         , -0.13           ,         , 0               ,         , 0.0039          ,        
Lcals_EOS                 , 0.0014          ,         , 0.00093         ,         , 0               ,         , 0.00025         ,        
Lcals_FIRST_DIFF          , 0.016           ,         , 0.02            ,         , 0               ,         , 0.00019         ,        
Lcals_FIRST_MIN           , -0.034          ,         , 0.24            ,OVER_TOL , 0               ,         , -0.46           ,        
Lcals_FIRST_SUM           , 0.011           ,         , 0.013           ,         , 0               ,         , 0.052           ,        
Lcals_GEN_LIN_RECUR       , 0.00069         ,         , -0.002          ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0011          ,         , 0.0014          ,         , 0               ,         , 0.0015          ,        
Lcals_HYDRO_2D            , -0.00011        ,         , 0.0075          ,         , 0               ,         , 0.11            ,OVER_TOL
Lcals_INT_PREDICT         , -8.7e-06        ,         , 0.0002          ,         , 0               ,         , 0.0041          ,        
Lcals_PLANCKIAN           , 4e-05           ,         , -1.3e-05        ,         , 0               ,         , -0.0023         ,        
Lcals_TRIDIAG_ELIM        , -7.3e-05        ,         , -3.5e-05        ,         , 0               ,         , 0.0012          ,        
Stream_ADD                , 0.0012          ,         , 0.00084         ,         , 0.00042         ,         , 0.0022          ,        
Stream_COPY               , 0.0017          ,         , -0.23           ,         , 0.0011          ,         , 0.00045         ,        
Stream_DOT                , -0.00025        ,         , 0.0086          ,         , 0               ,         , -0.23           ,        
Stream_MUL                , 0.017           ,         , 0.021           ,         , 0.0013          ,         , 0.0024          ,        
Stream_TRIAD              , 0.006           ,         , 0.00038         ,         , -0.0019         ,         , -0.00073        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.034          ,         , -0.23           ,         , -0.051          ,         , -0.46           ,        
Col Max                   , 0.057           ,         , 8.8             ,         , 0.29            ,         , 0.67            ,        
Col Avg                   , 0.0031          ,         , 0.34            ,         , 0.063           ,         , 0.017           ,        
Col Std Dev               , 0.00016         ,         , 2.3             ,         , 0.013           ,         , 0.035           ,        
