FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00031         ,         , 1.5             ,OVER_TOL , 5.5e-05         ,         , 0.027           ,         , 0               ,        
Basic_DAXPY               , 3.9e-05         ,         , -0.0017         ,         , -0.0099         ,         , 0.017           ,         , 0               ,        
Basic_IF_QUAD             , 0.018           ,         , 0.019           ,         , 0.082           ,         , 0.071           ,         , 0               ,        
Basic_INIT3               , -6.5e-05        ,         , -0.00098        ,         , 0.0081          ,         , 0.011           ,         , 0               ,        
Basic_INIT_VIEW1D         , -4.6e-06        ,         , 0.00017         ,         , 0.00096         ,         , 0.0025          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -5.8e-05        ,         , 1.1             ,OVER_TOL , 0.0008          ,         , 0.0012          ,         , 0               ,        
Basic_MULADDSUB           , -6.5e-05        ,         , 0.00076         ,         , 0.021           ,         , 0.015           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0026         ,         , 0.00017         ,         , 0.00053         ,         , -1.5e-05        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00056        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.15            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -2.3e-05        ,         , -1.2e-05        ,         , 0               ,         , -0.39           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0026         ,         , -0.0017         ,         , -0.0099         ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.018           ,         , 8.5             ,         , 0.082           ,         , 0.15            ,         , -1.8e+308       ,        
Col Avg                   , 0.0015          ,         , 1.1             ,         , 0.013           ,         , -0.0088         ,         , 0               ,        
Col Std Dev               , 3.1e-05         ,         , 6.4             ,         , 0.00074         ,         , 0.018           ,         , 0               ,        
