FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00013        ,         , -0.0009         ,         , -0.0046         ,         , -0.0014         ,        
Apps_ENERGY               , 0.0027          ,         , 0.0013          ,         , 0               ,         , 0.0017          ,        
Apps_FIR                  , -0.00063        ,         , -0.078          ,         , 0               ,         , 0.043           ,        
Apps_HALOEXCHANGE         , 0.018           ,         , 0.064           ,         , 0               ,         , -0.0065         ,        
Apps_LTIMES               , 0.0014          ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00051         ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00081        ,         , -0.0012         ,         , 0               ,         , 0.0039          ,        
Apps_VOL3D                , 0.00038         ,         , 0.0092          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.032           ,         , 0.038           ,         , 0.0012          ,         , 0.0013          ,        
Basic_IF_QUAD             , -0.0063         ,         , 0.0031          ,         , 0.19            ,OVER_TOL , 0.19            ,OVER_TOL
Basic_INIT3               , 0.0001          ,         , 0.00019         ,         , -0.0054         ,         , -0.0013         ,        
Basic_INIT_VIEW1D         , 8.2e-05         ,         , 7.2e-05         ,         , -0.00089        ,         , 0.0019          ,        
Basic_INIT_VIEW1D_OFFSET  , 2.9e-05         ,         , 1.1             ,OVER_TOL , 0.0034          ,         , 0.005           ,        
Basic_MULADDSUB           , -0.0065         ,         , -0.0059         ,         , 0.23            ,OVER_TOL , 0.23            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0085          ,         , 0.0029          ,         , 0.0012          ,        
Basic_PI_ATOMIC           , 1.5e-05         ,         , 1.5             ,OVER_TOL , -0.00037        ,         , 0.00012         ,        
Basic_REDUCE3_INT         , -0.00021        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.76            ,OVER_TOL
Basic_TRAP_INT            , -9.7e-05        ,         , -0.00011        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , -0.0011         ,         , -0.12           ,         , 0               ,         , 0.0042          ,        
Lcals_EOS                 , 0.0016          ,         , 0.0034          ,         , 0               ,         , -0.0012         ,        
Lcals_FIRST_DIFF          , 0.018           ,         , 0.023           ,         , 0               ,         , -0.00022        ,        
Lcals_FIRST_MIN           , -0.00056        ,         , 0.24            ,OVER_TOL , 0               ,         , -0.42           ,        
Lcals_FIRST_SUM           , 0.0096          ,         , 0.012           ,         , 0               ,         , 0.047           ,        
Lcals_GEN_LIN_RECUR       , -8.3e-05        ,         , 7.9e-05         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00097         ,         , 0.00092         ,         , 0               ,         , -0.00085        ,        
Lcals_HYDRO_2D            , -0.00063        ,         , 0.0078          ,         , 0               ,         , 0.081           ,        
Lcals_INT_PREDICT         , -0.0018         ,         , -0.00084        ,         , 0               ,         , 0.0011          ,        
Lcals_PLANCKIAN           , -0.0012         ,         , -0.0011         ,         , 0               ,         , -0.0067         ,        
Lcals_TRIDIAG_ELIM        , -0.00013        ,         , 0.00014         ,         , 0               ,         , 0.0096          ,        
Stream_ADD                , 0.0021          ,         , 0.0025          ,         , 0.0011          ,         , 0.0011          ,        
Stream_COPY               , 0.0014          ,         , -0.28           ,         , 0.00035         ,         , -0.0004         ,        
Stream_DOT                , -0.00021        ,         , 0.01            ,         , 0               ,         , -0.21           ,        
Stream_MUL                , 0.0076          ,         , 0.0086          ,         , 0.0016          ,         , 0.0018          ,        
Stream_TRIAD              , -0.00014        ,         , 0.0023          ,         , 0.00037         ,         , 5.6e-05         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0065         ,         , -0.28           ,         , -0.0054         ,         , -0.42           ,        
Col Max                   , 0.056           ,         , 8.8             ,         , 0.29            ,         , 0.76            ,        
Col Avg                   , 0.0039          ,         , 0.34            ,         , 0.066           ,         , 0.022           ,        
Col Std Dev               , 0.00013         ,         , 2.3             ,         , 0.012           ,         , 0.037           ,        
