FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , 0.0011          ,         , -0.0043         ,         , -0.018          ,         , -0.0058         ,        
Apps_ENERGY               , 0.0019          ,         , -0.00012        ,         , 0               ,         , 0.0014          ,        
Apps_FIR                  , -5.9e-05        ,         , -0.078          ,         , 0               ,         , 0.053           ,        
Apps_HALOEXCHANGE         , 0.0076          ,         , 0.18            ,OVER_TOL , 0               ,         , -0.015          ,        
Apps_LTIMES               , 0.00059         ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.0008          ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 9.6e-05         ,         , 0.00028         ,         , 0               ,         , 0.0042          ,        
Apps_VOL3D                , -0.00099        ,         , 0.0069          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.021           ,         , 0.025           ,         , 0.00041         ,         , 0.00041         ,        
Basic_IF_QUAD             , -0.0057         ,         , 0.0021          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -2e-05          ,         , 0.00011         ,         , 0.0035          ,         , -0.00092        ,        
Basic_INIT_VIEW1D         , -2.8e-05        ,         , 3.8e-05         ,         , -0.00052        ,         , 0.0045          ,        
Basic_INIT_VIEW1D_OFFSET  , 4.5e-05         ,         , 1.1             ,OVER_TOL , 0.0037          ,         , 0.0081          ,        
Basic_MULADDSUB           , -0.003          ,         , -0.0031         ,         , 0.18            ,OVER_TOL , 0.19            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0097          ,         , 0.00039         ,         , 0.0034          ,        
Basic_PI_ATOMIC           , -1.9e-05        ,         , 1.5             ,OVER_TOL , -0.00013        ,         , 0.00036         ,        
Basic_REDUCE3_INT         , -0.00014        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.67            ,OVER_TOL
Basic_TRAP_INT            , -3.2e-05        ,         , 0.00019         ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 0.00026         ,         , -0.12           ,         , 0               ,         , 0.0065          ,        
Lcals_EOS                 , 0.0016          ,         , 0.0015          ,         , 0               ,         , -0.00034        ,        
Lcals_FIRST_DIFF          , 0.024           ,         , 0.028           ,         , 0               ,         , -0.00045        ,        
Lcals_FIRST_MIN           , -0.0092         ,         , 0.14            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.019           ,         , 0.023           ,         , 0               ,         , 0.045           ,        
Lcals_GEN_LIN_RECUR       , -0.0001         ,         , -0.00081        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00092         ,         , 0.001           ,         , 0               ,         , -0.00094        ,        
Lcals_HYDRO_2D            , -0.0009         ,         , 0.0076          ,         , 0               ,         , 0.094           ,        
Lcals_INT_PREDICT         , -0.0004         ,         , -0.00018        ,         , 0               ,         , 0.0017          ,        
Lcals_PLANCKIAN           , -7.6e-06        ,         , -3.8e-05        ,         , 0               ,         , -0.01           ,        
Lcals_TRIDIAG_ELIM        , 0.00016         ,         , 0.00033         ,         , 0               ,         , 0.0041          ,        
Stream_ADD                , 0.00013         ,         , -0.00043        ,         , -8.3e-05        ,         , 0.002           ,        
Stream_COPY               , -0.0013         ,         , -0.27           ,         , -0.00062        ,         , 0.00018         ,        
Stream_DOT                , -0.0007         ,         , 0.0067          ,         , 0               ,         , -0.25           ,        
Stream_MUL                , 0.021           ,         , 0.026           ,         , 0.0012          ,         , 0.0019          ,        
Stream_TRIAD              , -0.00023        ,         , 0.00065         ,         , -0.0044         ,         , 9e-05           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0092         ,         , -0.27           ,         , -0.018          ,         , -0.43           ,        
Col Max                   , 0.057           ,         , 8.8             ,         , 0.29            ,         , 0.67            ,        
Col Avg                   , 0.004           ,         , 0.34            ,         , 0.06            ,         , 0.016           ,        
Col Std Dev               , 0.00014         ,         , 2.3             ,         , 0.011           ,         , 0.033           ,        
