Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.072736 ,   0.071693 , 0.180548 ,  0.390018 ,  0.356040 ,      1.796907 ,        Not run
Basic_DAXPY               , 0.260870 ,   0.261059 , 0.261238 ,  0.021995 ,  0.021567 ,      0.034627 ,        Not run
Basic_IF_QUAD             , 1.855066 ,   1.887971 , 1.888425 ,  0.011628 ,  0.012473 ,      0.015826 ,        Not run
Basic_INIT3               , 0.399329 ,   0.399560 , 0.400261 ,  0.025957 ,  0.025971 ,      0.044170 ,        Not run
Basic_INIT_VIEW1D         , 1.850419 ,   1.850357 , 1.851295 ,  0.032121 ,  0.032148 ,      0.080545 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.721067 ,   1.719399 , 1.969484 ,  0.031890 ,  0.030735 ,      0.071371 ,        Not run
Basic_MULADDSUB           , 0.389701 ,   0.389737 , 0.389972 ,  0.015984 ,  0.016993 ,      0.030447 ,        Not run
Basic_NESTED_INIT         , 1.187556 ,   1.187693 , 1.187412 ,  0.011493 ,  0.011514 ,      0.035755 ,        Not run
Basic_REDUCE3_INT         , 0.038021 ,   0.038017 , 0.038081 ,  0.008893 ,  0.011337 ,      0.003193 ,        Not run
Basic_TRAP_INT            , 1.087139 ,   1.087032 , 1.086854 ,  0.053691 ,  0.032832 ,      0.043703 ,        Not run
