FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.024          ,         , 1.2             ,OVER_TOL , -0.041          ,         , 0.045           ,         , 0               ,        
Basic_DAXPY               , -0.6            ,         , 0.083           ,         , -0.017          ,         , -0.0061         ,         , 0               ,        
Basic_IF_QUAD             , -0.27           ,         , 0               ,         , -0.045          ,         , -0.0072         ,         , 0               ,        
Basic_INIT3               , -0.71           ,         , 0.25            ,OVER_TOL , -0.046          ,         , 0.011           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.67           ,         , 0.068           ,         , 0.027           ,         , 0.044           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.67           ,         , 0.32            ,OVER_TOL , -0.0043         ,         , -0.026          ,         , 0               ,        
Basic_MULADDSUB           , -0.83           ,         , -0.83           ,         , -0.034          ,         , 0.029           ,         , 0               ,        
Basic_NESTED_INIT         , -0.7            ,         , -0.65           ,         , -0.011          ,         , -0.011          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.64           ,         , -0.71           ,         , 0               ,         , -0.0081         ,         , 0               ,        
Basic_TRAP_INT            , 0               ,         , 1.2             ,OVER_TOL , 0               ,         , 0.011           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.83           ,         , -0.83           ,         , -0.046          ,         , -0.026          ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 1.2             ,         , 0.027           ,         , 0.045           ,         , -1.8e+308       ,        
Col Avg                   , -0.51           ,         , 0.092           ,         , -0.021          ,         , 0.0082          ,         , 0               ,        
Col Std Dev               , 0.081           ,         , 0.45            ,         , 0.00055         ,         , 0.00053         ,         , 0               ,        
